Area/1172 Light/15.872499465942383
Area/4822 Light/19.53499984741211
Area/522 Light/36.04249954223633
Area/4651 Light/8.725000381469727
Area/1408 Light/18.50749969482422
Area/2291 Light/32.39999771118164
Area/1145 Light/22.700000762939453
Area/1352 Light/19.22249984741211
Area/1471 Light/28.15999984741211
Area/4376 Light/14.319999694824219
Area/4020 Light/32.752498626708984
Area/4405 Light/23.032501220703125
Area/4728 Light/9.895000457763672
Area/3894 Light/10.467500686645508
Area/2385 Light/52.48500061035156
Area/1991 Light/50.4375
Area/726 Light/12.262500762939453
Area/4254 Light/2.880000114440918
Area/1035 Light/22.279998779296875
Area/4880 Light/21.809999465942383
Area/992 Light/5.262499809265137
Area/3835 Light/41.52750015258789
Area/3879 Light/37.932498931884766
Area/299 Light/9.199999809265137
Area/1163 Light/7.605000019073486
Area/1191 Light/31.875001907348633
Area/2108 Light/12.092499732971191
Area/4781 Light/1.3199999332427979
Area/337 Light/3.880000114440918
Area/2167 Light/19.420001983642578
Area/2224 Light/34.5625
Area/3112 Light/28.547500610351562
Area/437 Light/32.057498931884766
Area/3166 Light/44.040000915527344
Area/4636 Light/6.092499732971191
Area/933 Light/13.577499389648438
Area/5122 Light/3.375
Area/3946 Light/4.617500305175781
Area/1645 Light/35.5625
Area/447 Light/16.700000762939453
Area/2320 Light/40.66999816894531
Area/2256 Light/30.729999542236328
Area/4838 Light/1.315000057220459
Area/3350 Light/4.510000228881836
Area/1522 Light/17.047500610351562
Area/5081 Light/2.174999952316284
Area/4058 Light/8.697500228881836
Area/1221 Light/20.979999542236328
Area/414 Light/7.747499942779541
Area/234 Light/7.372499942779541
Area/796 Light/24.967500686645508
Area/1018 Light/12.28499984741211
Area/1842 Light/23.252498626708984
Area/2274 Light/6.304999828338623
Area/2182 Light/9.1899995803833
Area/635 Light/16.989999771118164
Area/840 Light/2.9375
Area/703 Light/32.87249755859375
Area/1391 Light/33.90999984741211
Area/753 Light/36.82250213623047
Area/2896 Light/32.29499816894531
Area/1959 Light/44.402496337890625
Area/3739 Light/21.452499389648438
Area/5077 Light/13.59000015258789
Area/325 Light/14.1225004196167
Area/3823 Light/22.6825008392334
Area/5148 Light/12.864999771118164
Area/4903 Light/19.947498321533203
Area/5125 Light/36.31749725341797
Area/3735 Light/39.772499084472656
Area/2049 Light/43.23750305175781
Area/3184 Light/3.444999933242798
Area/3778 Light/10.555000305175781
Area/785 Light/20.760000228881836
Area/5171 Light/1.1075000762939453
Area/2277 Light/18.559999465942383
Area/1428 Light/7.03000020980835
Area/5234 Light/5.042500019073486
Area/3938 Light/30.662498474121094
Area/297 Light/6.617500305175781
Area/4005 Light/116.2449951171875
Area/3434 Light/4.247500419616699
Area/3174 Light/30.100000381469727
Area/670 Light/15.77500057220459
Area/3680 Light/7.9375
Area/1939 Light/22.900001525878906
Area/981 Light/21.962499618530273
Area/75 Light/5.802500247955322
Area/1987 Light/37.40250015258789
Area/3987 Light/28.842498779296875
Area/1742 Light/32.130001068115234
Area/853 Light/35.32749938964844
Area/4824 Light/33.46249771118164
Area/2387 Light/45.90250015258789
Area/1803 Light/57.290000915527344
Area/1013 Light/7.387499809265137
Area/4531 Light/1.4700000286102295
Area/1054 Light/29.459999084472656
Area/3291 Light/17.170000076293945
Area/2111 Light/18.65250015258789
Area/1946 Light/28.627498626708984
Area/2679 Light/15.0649995803833
Area/4111 Light/3.1700000762939453
Area/3360 Light/34.087501525878906
Area/4351 Light/22.3125
Area/4733 Light/20.697498321533203
Area/473 Light/15.112500190734863
Area/2652 Light/83.125
Area/244 Light/4.119999885559082
Area/2061 Light/36.38249969482422
Area/2028 Light/8.892499923706055
Area/5256 Light/1.0299999713897705
Area/2048 Light/48.12249755859375
Area/258 Light/9.837499618530273
Area/4850 Light/1.1375000476837158
Area/1472 Light/17.362499237060547
Area/1899 Light/32.480003356933594
Area/1386 Light/36.6974983215332
Area/1378 Light/38.98500061035156
Area/4206 Light/10.857500076293945
Area/2393 Light/43.13750076293945
Area/790 Light/27.002498626708984
Area/5022 Light/0.8200000524520874
Area/1482 Light/38.192501068115234
Area/946 Light/13.1875
Area/4862 Light/0.9574999809265137
Area/5056 Light/4.440000057220459
Area/1072 Light/23.917499542236328
Area/4063 Light/22.502500534057617
Area/3081 Light/31.122501373291016
Area/509 Light/28.1875
Area/3787 Light/19.15250015258789
Area/2229 Light/49.8125
Area/1955 Light/32.01499938964844
Area/1470 Light/36.03249740600586
Area/2681 Light/29.282501220703125
Area/1464 Light/29.99250030517578
Area/3849 Light/4.777499675750732
Area/3755 Light/30.849998474121094
Area/4604 Light/1.4600000381469727
Area/2991 Light/47.90250015258789
Area/3941 Light/34.14249801635742
Area/3820 Light/39.13249969482422
Area/1406 Light/34.24749755859375
Area/3212 Light/30.517501831054688
Area/3573 Light/23.854999542236328
Area/1739 Light/31.639999389648438
Area/2846 Light/8.912500381469727
Area/3795 Light/32.61249923706055
Area/5204 Light/1.409999966621399
Area/3277 Light/23.685001373291016
Area/2909 Light/18.229999542236328
Area/9 Light/12.515000343322754
Area/5020 Light/1.002500057220459
Area/3267 Light/4.387499809265137
Area/2179 Light/20.282499313354492
Area/4840 Light/1.2100000381469727
Area/3193 Light/35.597496032714844
Area/157 Light/7.454999923706055
Area/554 Light/19.325000762939453
Area/1486 Light/26.212499618530273
Area/1204 Light/19.4375
Area/4732 Light/22.28499984741211
Area/33 Light/6.852499961853027
Area/248 Light/5.102499961853027
Area/821 Light/11.28499984741211
Area/2187 Light/17.407499313354492
Area/3698 Light/6.952499866485596
Area/3069 Light/43.87999725341797
Area/2071 Light/29.322500228881836
Area/3318 Light/24.997499465942383
Area/4061 Light/36.69499969482422
Area/457 Light/32.53499984741211
Area/799 Light/25.212499618530273
Area/3156 Light/38.557498931884766
Area/779 Light/24.270000457763672
Area/1498 Light/15.180000305175781
Area/4861 Light/0.9774999618530273
Area/2880 Light/36.352500915527344
Area/5099 Light/0.9399999976158142
Area/435 Light/40.50749969482422
Area/350 Light/36.69499969482422
Area/3840 Light/45.59000015258789
Area/2452 Light/40.769996643066406
Area/1105 Light/17.837499618530273
Area/3825 Light/20.087501525878906
Area/5015 Light/1.0174999237060547
Area/910 Light/11.327500343322754
Area/1647 Light/36.845001220703125
Area/1493 Light/16.307498931884766
Area/4255 Light/3.3425002098083496
Area/4496 Light/29.172500610351562
Area/2903 Light/46.42500305175781
Area/1895 Light/36.49749755859375
Area/4403 Light/14.88499927520752
Area/4521 Light/1.840000033378601
Area/324 Light/10.180000305175781
Area/1374 Light/50.60750198364258
Area/3377 Light/24.764999389648438
Area/1932 Light/24.709999084472656
Area/201 Light/31.827499389648438
Area/4692 Light/1.2100000381469727
Area/4053 Light/20.147499084472656
Area/1317 Light/39.45750045776367
Area/3128 Light/28.77250099182129
Area/1952 Light/40.73999786376953
Area/3855 Light/50.782501220703125
Area/1203 Light/19.700000762939453
Area/2016 Light/29.125
Area/2941 Light/6.092499732971191
Area/242 Light/7.08750057220459
Area/274 Light/48.91749954223633
Area/3000 Light/38.97249984741211
Area/572 Light/7.517499923706055
Area/1629 Light/31.220001220703125
Area/3077 Light/37.29249954223633
Area/131 Light/14.829999923706055
Area/1995 Light/37.49250030517578
Area/724 Light/33.349998474121094
Area/1968 Light/46.529998779296875
Area/3690 Light/34.79499816894531
Area/1263 Light/3.8449997901916504
Area/116 Light/16.309999465942383
Area/3673 Light/50.80500030517578
Area/373 Light/31.702499389648438
Area/3887 Light/16.880001068115234
Area/489 Light/4.582499980926514
Area/188 Light/28.037500381469727
Area/1240 Light/22.630001068115234
Area/5248 Light/1.5274999141693115
Area/4211 Light/24.36750030517578
Area/3103 Light/2.442500114440918
Area/8 Light/8.997499465942383
Area/4869 Light/1.600000023841858
Area/2483 Light/54.22249984741211
Area/2786 Light/9.795000076293945
Area/2118 Light/26.100000381469727
Area/565 Light/12.917499542236328
Area/3858 Light/31.604999542236328
Area/1696 Light/20.482500076293945
Area/2454 Light/13.262500762939453
Area/3079 Light/28.977500915527344
Area/340 Light/20.309999465942383
Area/2430 Light/7.699999809265137
Area/1208 Light/32.032501220703125
Area/3679 Light/14.269999504089355
Area/1067 Light/37.01000213623047
Area/2263 Light/26.72249984741211
Area/93 Light/10.037500381469727
Area/4297 Light/28.529998779296875
Area/3696 Light/11.002500534057617
Area/881 Light/24.457500457763672
Area/1312 Light/24.014999389648438
Area/2876 Light/27.887500762939453
Area/1580 Light/52.43000030517578
Area/4362 Light/1.7425000667572021
Area/500 Light/13.695000648498535
Area/32 Light/10.819999694824219
Area/1761 Light/96.44749450683594
Area/3731 Light/26.307498931884766
Area/2950 Light/33.88999938964844
Area/4049 Light/37.709999084472656
Area/1182 Light/5.21750020980835
Area/1478 Light/35.769996643066406
Area/3511 Light/161.83499145507812
Area/3120 Light/29.467500686645508
Area/2832 Light/49.97249984741211
Area/4579 Light/13.805000305175781
Area/3448 Light/5.987500190734863
Area/1681 Light/38.56999969482422
Area/1414 Light/11.602500915527344
Area/3702 Light/14.907500267028809
Area/4032 Light/5.429999828338623
Area/4352 Light/11.805000305175781
Area/4399 Light/19.737499237060547
Area/2616 Light/23.897499084472656
Area/2 Light/8.632499694824219
Area/2752 Light/20.510000228881836
Area/4670 Light/1.8725000619888306
Area/3185 Light/3.112499952316284
Area/5026 Light/0.7900000214576721
Area/3766 Light/4.970000267028809
Area/4835 Light/1.7549999952316284
Area/4512 Light/2.6475000381469727
Area/1207 Light/38.150001525878906
Area/783 Light/13.119999885559082
Area/570 Light/23.857500076293945
Area/4212 Light/15.887499809265137
Area/2659 Light/44.69249725341797
Area/4275 Light/3.627500057220459
Area/1744 Light/13.380000114440918
Area/1791 Light/48.77750015258789
Area/3088 Light/31.094999313354492
Area/4828 Light/14.932500839233398
Area/1343 Light/9.1225004196167
Area/5182 Light/0.8725000023841858
Area/416 Light/9.760000228881836
Area/1193 Light/43.402496337890625
Area/2137 Light/42.42499923706055
Area/5153 Light/5.454999923706055
Area/1037 Light/25.90999984741211
Area/5129 Light/16.295000076293945
Area/3647 Light/24.627500534057617
Area/3021 Light/1.9574999809265137
Area/4740 Light/31.642499923706055
Area/323 Light/12.077499389648438
Area/1997 Light/14.139999389648438
Area/4454 Light/24.392499923706055
Area/442 Light/35.07500076293945
Area/376 Light/32.30500030517578
Area/3232 Light/39.314998626708984
Area/3208 Light/19.955001831054688
Area/84 Light/3.3924999237060547
Area/2375 Light/34.11499786376953
Area/4262 Light/2.884999990463257
Area/3729 Light/34.040000915527344
Area/5085 Light/1.3200000524520874
Area/76 Light/6.117500305175781
Area/3028 Light/19.917499542236328
Area/3752 Light/37.432498931884766
Area/3488 Light/25.6924991607666
Area/449 Light/15.747499465942383
Area/3497 Light/26.207500457763672
Area/3800 Light/26.005001068115234
Area/4373 Light/24.90999984741211
Area/17 Light/7.085000038146973
Area/3790 Light/8.120000839233398
Area/1621 Light/43.07500076293945
Area/1795 Light/38.86000061035156
Area/3292 Light/20.575000762939453
Area/1151 Light/45.45249938964844
Area/1170 Light/17.40250015258789
Area/3828 Light/54.342498779296875
Area/1574 Light/41.61750030517578
Area/1303 Light/19.22249984741211
Area/772 Light/38.497501373291016
Area/2270 Light/27.67500114440918
Area/2791 Light/11.129999160766602
Area/104 Light/11.892499923706055
Area/586 Light/8.904999732971191
Area/1850 Light/33.16999816894531
Area/5114 Light/0.7749999761581421
Area/1377 Light/41.38999938964844
Area/4610 Light/1.3324999809265137
Area/1269 Light/19.877500534057617
Area/3533 Light/5.922499656677246
Area/4079 Light/32.099998474121094
Area/5087 Light/1.1675000190734863
Area/2437 Light/5.662500381469727
Area/253 Light/3.1024999618530273
Area/2220 Light/51.20500183105469
Area/826 Light/7.77500057220459
Area/2503 Light/35.352500915527344
Area/2464 Light/55.0525016784668
Area/1474 Light/25.650001525878906
Area/2864 Light/30.450000762939453
Area/4128 Light/15.302499771118164
Area/1319 Light/23.674999237060547
Area/3114 Light/50.60749816894531
Area/1283 Light/12.507499694824219
Area/2166 Light/30.270000457763672
Area/2660 Light/30.145000457763672
Area/2362 Light/8.940000534057617
Area/1164 Light/13.514999389648438
Area/2322 Light/50.334999084472656
Area/5219 Light/11.067501068115234
Area/1823 Light/27.47749900817871
Area/1616 Light/14.354999542236328
Area/5119 Light/1.494999885559082
Area/2046 Light/66.79000091552734
Area/4385 Light/13.895000457763672
Area/3050 Light/46.35000228881836
Area/4347 Light/4.242499828338623
Area/3287 Light/27.114999771118164
Area/3521 Light/4.029999732971191
Area/45 Light/17.90250015258789
Area/1246 Light/8.442500114440918
Area/2213 Light/169.55250549316406
Area/2553 Light/47.19999694824219
Area/2973 Light/36.779998779296875
Area/519 Light/51.70000076293945
Area/1841 Light/22.575000762939453
Area/2242 Light/35.869998931884766
Area/2238 Light/42.877498626708984
Area/1046 Light/23.612499237060547
Area/3636 Light/20.52750015258789
Area/3468 Light/25.772499084472656
Area/1767 Light/40.522499084472656
Area/2885 Light/27.302499771118164
Area/3574 Light/30.48000144958496
Area/480 Light/20.412498474121094
Area/423 Light/30.169998168945312
Area/3599 Light/5.409999847412109
Area/2215 Light/37.025001525878906
Area/865 Light/25.637500762939453
Area/4238 Light/27.6875
Area/2801 Light/34.26249694824219
Area/51 Light/5.675000190734863
Area/4848 Light/1.147499918937683
Area/3238 Light/34.75499725341797
Area/962 Light/27.872499465942383
Area/4478 Light/9.362499237060547
Area/2505 Light/32.45000076293945
Area/478 Light/27.240001678466797
Area/2927 Light/26.220001220703125
Area/5053 Light/12.555000305175781
Area/55 Light/13.987500190734863
Area/301 Light/19.404998779296875
Area/1560 Light/30.92500114440918
Area/4367 Light/1.0125000476837158
Area/3975 Light/17.86750030517578
Area/2716 Light/25.18000030517578
Area/225 Light/5.192500114440918
Area/3788 Light/31.842498779296875
Area/1730 Light/55.72749710083008
Area/4957 Light/37.102500915527344
Area/4765 Light/1.3050000667572021
Area/1581 Light/46.68000030517578
Area/4600 Light/4.595000267028809
Area/4606 Light/1.4600000381469727
Area/1634 Light/32.192501068115234
Area/1821 Light/24.290000915527344
Area/5174 Light/1.1150000095367432
Area/216 Light/14.024999618530273
Area/2162 Light/44.685001373291016
Area/2582 Light/42.61499786376953
Area/1442 Light/42.67499923706055
Area/4371 Light/38.71500015258789
Area/1093 Light/3.990000009536743
Area/1006 Light/12.672499656677246
Area/4931 Light/1.0750000476837158
Area/3829 Light/24.7549991607666
Area/1209 Light/32.77750015258789
Area/3589 Light/31.57750129699707
Area/4959 Light/29.19999885559082
Area/1898 Light/36.792503356933594
Area/3486 Light/24.467500686645508
Area/3455 Light/33.82250213623047
Area/4884 Light/6.159999847412109
Area/4665 Light/2.882500171661377
Area/1128 Light/29.392499923706055
Area/4271 Light/13.75999927520752
Area/944 Light/17.852500915527344
Area/2455 Light/32.83250045776367
Area/1598 Light/32.720001220703125
Area/4221 Light/13.612500190734863
Area/827 Light/7.472499847412109
Area/2871 Light/26.017499923706055
Area/3730 Light/32.59000015258789
Area/2386 Light/41.01750183105469
Area/1758 Light/32.397499084472656
Area/3802 Light/21.952499389648438
Area/5238 Light/6.789999961853027
Area/2208 Light/60.61249923706055
Area/3310 Light/34.95750045776367
Area/4131 Light/38.49500274658203
Area/222 Light/5.007499694824219
Area/3483 Light/31.727500915527344
Area/2363 Light/11.274999618530273
Area/3585 Light/39.337501525878906
Area/4657 Light/23.845001220703125
Area/4750 Light/2.1050000190734863
Area/776 Light/14.832500457763672
Area/4961 Light/25.454999923706055
Area/3883 Light/28.07750129699707
Area/2750 Light/35.994998931884766
Area/4775 Light/1.0625
Area/3266 Light/8.569999694824219
Area/810 Light/12.130000114440918
Area/2312 Light/57.17000198364258
Area/4742 Light/37.92499923706055
Area/4344 Light/2.125
Area/3152 Light/29.377500534057617
Area/4978 Light/7.539999961853027
Area/4676 Light/1.7149999141693115
Area/1065 Light/28.844999313354492
Area/5240 Light/23.862499237060547
Area/5011 Light/1.1749999523162842
Area/3446 Light/12.232500076293945
Area/2410 Light/34.75749969482422
Area/4874 Light/24.735000610351562
Area/617 Light/25.439998626708984
Area/5045 Light/19.869998931884766
Area/3122 Light/26.549999237060547
Area/3398 Light/20.424999237060547
Area/328 Light/8.569999694824219
Area/2052 Light/35.79249954223633
Area/5127 Light/27.670000076293945
Area/4381 Light/43.19750213623047
Area/984 Light/37.60749816894531
Area/1694 Light/30.292499542236328
Area/1817 Light/40.525001525878906
Area/3942 Light/20.125
Area/5228 Light/13.350000381469727
Area/2352 Light/13.905000686645508
Area/5046 Light/22.514999389648438
Area/1839 Light/22.189998626708984
Area/3893 Light/13.489999771118164
Area/2837 Light/19.017499923706055
Area/462 Light/37.94499969482422
Area/3322 Light/38.29750061035156
Area/2314 Light/49.40999984741211
Area/4743 Light/34.287498474121094
Area/2230 Light/52.87999725341797
Area/3348 Light/7.747499942779541
Area/2963 Light/32.05000305175781
Area/3861 Light/16.99250030517578
Area/1552 Light/29.114999771118164
Area/584 Light/15.34999942779541
Area/3436 Light/3.434999942779541
Area/3181 Light/26.08749771118164
Area/4654 Light/12.194999694824219
Area/3650 Light/31.3125
Area/1078 Light/10.104999542236328
Area/246 Light/7.747499942779541
Area/505 Light/18.34000015258789
Area/4290 Light/11.6875
Area/860 Light/18.082500457763672
Area/3264 Light/8.479999542236328
Area/5050 Light/19.545000076293945
Area/40 Light/16.087499618530273
Area/4333 Light/4.110000133514404
Area/4240 Light/34.724998474121094
Area/454 Light/31.667499542236328
Area/4708 Light/20.657499313354492
Area/2168 Light/41.81500244140625
Area/1613 Light/8.5
Area/3817 Light/35.19999694824219
Area/1602 Light/18.479999542236328
Area/638 Light/20.475000381469727
Area/3852 Light/7.659999847412109
Area/2982 Light/35.38749694824219
Area/1787 Light/20.18000030517578
Area/4424 Light/2.015000104904175
Area/5145 Light/8.90999984741211
Area/969 Light/14.3125
Area/2063 Light/53.75
Area/3217 Light/34.040000915527344
Area/3237 Light/33.19750213623047
Area/1525 Light/52.977500915527344
Area/304 Light/10.5
Area/4495 Light/30.407501220703125
Area/251 Light/6.952499866485596
Area/1192 Light/29.98750114440918
Area/460 Light/37.83000183105469
Area/2998 Light/31.5625
Area/1388 Light/11.872499465942383
Area/3728 Light/28.274999618530273
Area/3404 Light/33.32499694824219
Area/4073 Light/35.654998779296875
Area/2648 Light/67.59500122070312
Area/1465 Light/32.625
Area/145 Light/8.4399995803833
Area/3204 Light/13.529999732971191
Area/764 Light/13.117500305175781
Area/3891 Light/53.35750198364258
Area/424 Light/25.167499542236328
Area/4755 Light/1.4574999809265137
Area/934 Light/9.289999961853027
Area/4078 Light/26.65250015258789
Area/730 Light/28.104999542236328
Area/2338 Light/32.4375
Area/4767 Light/1.162500023841858
Area/3442 Light/6.490000247955322
Area/5273 Light/0.7899999618530273
Area/5149 Light/10.467499732971191
Area/44 Light/12.524999618530273
Area/484 Light/22.190000534057617
Area/4839 Light/1.3399999141693115
Area/3783 Light/15.582500457763672
Area/1194 Light/32.75499725341797
Area/1769 Light/41.032501220703125
Area/1461 Light/29.77250099182129
Area/1492 Light/18.99250030517578
Area/1825 Light/37.79500198364258
Area/176 Light/19.5625
Area/2958 Light/18.432498931884766
Area/3165 Light/37.334999084472656
Area/3334 Light/37.75250244140625
Area/334 Light/5.467499732971191
Area/781 Light/30.464998245239258
Area/2100 Light/30.97749900817871
Area/1313 Light/21.64750099182129
Area/4151 Light/11.149999618530273
Area/4872 Light/37.15250015258789
Area/467 Light/35.400001525878906
Area/3803 Light/23.169998168945312
Area/4571 Light/14.065000534057617
Area/4488 Light/24.145000457763672
Area/1392 Light/32.657501220703125
Area/549 Light/11.940000534057617
Area/577 Light/25.502500534057617
Area/1308 Light/22.877498626708984
Area/2089 Light/20.607500076293945
Area/3716 Light/26.407501220703125
Area/3758 Light/26.382497787475586
Area/4163 Light/23.587499618530273
Area/1755 Light/11.764999389648438
Area/4964 Light/17.012500762939453
Area/2412 Light/40.5625
Area/3478 Light/25.600000381469727
Area/3985 Light/19.685001373291016
Area/2897 Light/36.290000915527344
Area/4253 Light/2.922499895095825
Area/2351 Light/0
Area/1843 Light/32.8849983215332
Area/1854 Light/29.469999313354492
Area/3437 Light/3.5774998664855957
Area/91 Light/8.02750015258789
Area/5002 Light/1.3524999618530273
Area/4047 Light/44.67250061035156
Area/2545 Light/40.3125
Area/2060 Light/32.06999969482422
Area/1638 Light/24.48750114440918
Area/578 Light/21.212501525878906
Area/2823 Light/38.28499984741211
Area/1048 Light/33.087501525878906
Area/797 Light/33.130001068115234
Area/4009 Light/6.157500267028809
Area/1856 Light/24.479999542236328
Area/419 Light/7.557499885559082
Area/2143 Light/44.83250045776367
Area/872 Light/28.470001220703125
Area/2586 Light/25.047500610351562
Area/3450 Light/20.91499900817871
Area/2212 Light/75.09249877929688
Area/1059 Light/31.5
Area/2150 Light/42.37000274658203
Area/3882 Light/32.459999084472656
Area/74 Light/6.212500095367432
Area/3110 Light/38.86249923706055
Area/1418 Light/13.975000381469727
Area/4827 Light/21.19499969482422
Area/713 Light/30.002500534057617
Area/5040 Light/29.494998931884766
Area/3458 Light/24.1875
Area/1213 Light/28.337499618530273
Area/420 Light/8.012499809265137
Area/2467 Light/51.912498474121094
Area/5190 Light/0.7675000429153442
Area/1153 Light/32.67250061035156
Area/3821 Light/73.41000366210938
Area/4232 Light/17.040000915527344
Area/1412 Light/13.864999771118164
Area/2623 Light/27.377498626708984
Area/628 Light/33.470001220703125
Area/1044 Light/35.02000045776367
Area/1722 Light/30.934999465942383
Area/1799 Light/43.42749786376953
Area/2344 Light/19.58500099182129
Area/130 Light/9.262499809265137
Area/2882 Light/33.32499694824219
Area/468 Light/37.307498931884766
Area/3528 Light/11.225000381469727
Area/5038 Light/4.652500152587891
Area/4064 Light/13.862499237060547
Area/1435 Light/7.09250020980835
Area/3966 Light/34.647499084472656
Area/4805 Light/10.997499465942383
Area/1132 Light/34.47249984741211
Area/4985 Light/11.739999771118164
Area/569 Light/17.19499969482422
Area/4776 Light/1.0299999713897705
Area/3536 Light/19.65999984741211
Area/576 Light/24.994998931884766
Area/3031 Light/36.50749969482422
Area/1802 Light/36.56999969482422
Area/1746 Light/38.59000015258789
Area/3308 Light/27.092498779296875
Area/4186 Light/24.145000457763672
Area/1752 Light/18.982500076293945
Area/5008 Light/1.1449999809265137
Area/1796 Light/37.935001373291016
Area/161 Light/6.480000019073486
Area/3153 Light/38.57499694824219
Area/769 Light/30.417499542236328
Area/491 Light/10.452500343322754
Area/1500 Light/8.579999923706055
Area/1697 Light/15.697500228881836
Area/2169 Light/44.24250030517578
Area/293 Light/18.61750030517578
Area/2183 Light/-1.7014115303685483e+38
Area/1931 Light/93.78999328613281
Area/2130 Light/48.5625
Area/5281 Light/0.9574999809265137
Area/1859 Light/19.817501068115234
Area/1770 Light/38.87249755859375
Area/3135 Light/45.209999084472656
Area/982 Light/28.155000686645508
Area/2260 Light/19.375
Area/3427 Light/119.80250549316406
Area/2668 Light/24.09000015258789
Area/4904 Light/21.94499969482422
Area/3871 Light/27.1825008392334
Area/5286 Light/1.1800000667572021
Area/393 Light/14.460000038146973
Area/4906 Light/18.739999771118164
Area/4659 Light/42.31500244140625
Area/1639 Light/29.225000381469727
Area/2804 Light/37.00749969482422
Area/3513 Light/84.94999694824219
Area/4158 Light/38.23249816894531
Area/2315 Light/93.04750061035156
Area/2587 Light/36.95750045776367
Area/4384 Light/6.090000152587891
Area/4433 Light/4.445000171661377
Area/645 Light/23.145000457763672
Area/4417 Light/3.067500114440918
Area/2501 Light/29.6924991607666
Area/3017 Light/3.5824999809265137
Area/5194 Light/0.8375000357627869
Area/529 Light/29.422500610351562
Area/1840 Light/24.452499389648438
Area/2683 Light/3.9599997997283936
Area/4123 Light/29.68000030517578
Area/1779 Light/28.237499237060547
Area/3424 Light/20.145000457763672
Area/1844 Light/34.4375
Area/1873 Light/34.30000305175781
Area/2119 Light/31.264999389648438
Area/631 Light/26.967498779296875
Area/3075 Light/33.790000915527344
Area/2715 Light/40.477500915527344
Area/3414 Light/15.360000610351562
Area/1922 Light/10.045000076293945
Area/3401 Light/32.32250213623047
Area/851 Light/33.459999084472656
Area/1409 Light/14.680000305175781
Area/3472 Light/17.845001220703125
Area/4340 Light/2.315000057220459
Area/4800 Light/6.237500190734863
Area/2516 Light/3.4074997901916504
Area/4648 Light/19.40250015258789
Area/5220 Light/8.774999618530273
Area/4223 Light/15.997499465942383
Area/4307 Light/11.682500839233398
Area/2593 Light/24.02750015258789
Area/2859 Light/8.807499885559082
Area/824 Light/5.795000076293945
Area/1603 Light/16.72749900817871
Area/3771 Light/34.37750244140625
Area/2667 Light/31.35999870300293
Area/983 Light/40.18000030517578
Area/1340 Light/33.17749786376953
Area/1036 Light/24.13749885559082
Area/1554 Light/24.68000030517578
Area/238 Light/6.109999656677246
Area/1266 Light/10.0625
Area/3252 Light/35.46500015258789
Area/2629 Light/39.162498474121094
Area/1057 Light/30.204999923706055
Area/4217 Light/32.709999084472656
Area/1253 Light/6.225000381469727
Area/741 Light/11.505000114440918
Area/2641 Light/60.564998626708984
Area/621 Light/22.799999237060547
Area/3471 Light/21.667499542236328
Area/805 Light/26.770000457763672
