Area/1172 Carbon/279.45684814453125
Area/4604 Carbon/0.0
Area/2991 Carbon/2457.7978515625
Area/3941 Carbon/540.6390380859375
Area/3820 Carbon/976.3850708007812
Area/1406 Carbon/437.9924011230469
Area/3212 Carbon/685.3240966796875
Area/3573 Carbon/1478.1697998046875
Area/1739 Carbon/733.3192138671875
Area/2846 Carbon/445.5701599121094
Area/3795 Carbon/750.1217651367188
Area/5204 Carbon/84.56034088134766
Area/3277 Carbon/907.411865234375
Area/2909 Carbon/2199.783935546875
Area/9 Carbon/306.9909973144531
Area/5020 Carbon/0.0
Area/3267 Carbon/0.0
Area/2179 Carbon/855.678466796875
Area/4840 Carbon/0.0
Area/3193 Carbon/1030.3031005859375
Area/157 Carbon/202.83534240722656
Area/554 Carbon/450.7405700683594
Area/1486 Carbon/775.6680908203125
Area/1204 Carbon/1034.611083984375
Area/4732 Carbon/439.1142578125
Area/33 Carbon/277.1726989746094
Area/248 Carbon/160.3175506591797
Area/821 Carbon/240.68992614746094
Area/2187 Carbon/570.3878173828125
Area/3698 Carbon/312.83441162109375
Area/3069 Carbon/2668.0234375
Area/2071 Carbon/1364.62158203125
Area/3318 Carbon/1842.9024658203125
Area/4061 Carbon/444.53131103515625
Area/457 Carbon/919.4667358398438
Area/799 Carbon/179908.96875
Area/3156 Carbon/2637.178466796875
Area/779 Carbon/780.5260620117188
Area/1498 Carbon/295.24267578125
Area/4861 Carbon/0.0
Area/2880 Carbon/1001.4247436523438
Area/5099 Carbon/0.0
Area/435 Carbon/1208.922119140625
Area/350 Carbon/1108.3909912109375
Area/3840 Carbon/1093.169921875
Area/2452 Carbon/635.5465087890625
Area/1105 Carbon/645.076904296875
Area/3825 Carbon/1260.95166015625
Area/5015 Carbon/0.0
Area/910 Carbon/415.8832702636719
Area/1647 Carbon/1005.0399780273438
Area/1493 Carbon/291.29736328125
Area/4255 Carbon/0.0
Area/4496 Carbon/0.0
Area/2903 Carbon/4421.28564453125
Area/1895 Carbon/1819.0101318359375
Area/4403 Carbon/666.1671142578125
Area/4521 Carbon/164.48504638671875
Area/324 Carbon/212.38050842285156
Area/1374 Carbon/1295.534423828125
Area/3377 Carbon/585.6923828125
Area/1932 Carbon/932.0679321289062
Area/201 Carbon/476.93115234375
Area/4692 Carbon/0.0
Area/4053 Carbon/660.82275390625
Area/1317 Carbon/603.4239501953125
Area/3128 Carbon/727.1221923828125
Area/1952 Carbon/1013.3663940429688
Area/3855 Carbon/0.0
Area/1203 Carbon/946.4296875
Area/2016 Carbon/727.692626953125
Area/2941 Carbon/525.6804809570312
Area/242 Carbon/235.438232421875
Area/274 Carbon/477.0415344238281
Area/3000 Carbon/1419.0308837890625
Area/572 Carbon/334.6349182128906
Area/1629 Carbon/1650.3238525390625
Area/3077 Carbon/1640.9622802734375
Area/131 Carbon/309.5604248046875
Area/1995 Carbon/669.3887329101562
Area/724 Carbon/463.4904479980469
Area/1968 Carbon/2251.089599609375
Area/3690 Carbon/363.0840148925781
Area/1263 Carbon/200.00360107421875
Area/116 Carbon/319.0040588378906
Area/3673 Carbon/1367.447021484375
Area/373 Carbon/780.9660034179688
Area/3887 Carbon/541.4855346679688
Area/489 Carbon/324.8819274902344
Area/188 Carbon/509.0613708496094
Area/1240 Carbon/215.069091796875
Area/5248 Carbon/0.0
Area/4211 Carbon/571.3051147460938
Area/3103 Carbon/0.0
Area/8 Carbon/250.66787719726562
Area/4869 Carbon/0.0
Area/2483 Carbon/5529.17041015625
Area/2786 Carbon/567.0025024414062
Area/2118 Carbon/914.61572265625
Area/565 Carbon/305.7828063964844
Area/3858 Carbon/440.7353820800781
Area/1696 Carbon/616.9603881835938
Area/2454 Carbon/734.2631225585938
Area/3079 Carbon/1481.196044921875
Area/340 Carbon/482.0433349609375
Area/2430 Carbon/505.3512268066406
Area/1208 Carbon/1247.439697265625
Area/3679 Carbon/0.0
Area/1067 Carbon/320.17376708984375
Area/2263 Carbon/637.1447143554688
Area/93 Carbon/377.8395690917969
Area/4297 Carbon/573.0764770507812
Area/3696 Carbon/312.28057861328125
Area/881 Carbon/919.7246704101562
Area/1312 Carbon/758.6096801757812
Area/2876 Carbon/769.6761474609375
Area/1580 Carbon/229.97000122070312
Area/4362 Carbon/0.0
Area/500 Carbon/186.06809997558594
Area/32 Carbon/263.4662170410156
Area/1761 Carbon/1310.5933837890625
Area/3731 Carbon/832.2660522460938
Area/2950 Carbon/545.4329833984375
Area/4049 Carbon/1057.35009765625
Area/1182 Carbon/402.76751708984375
Area/1478 Carbon/814.1395874023438
Area/3511 Carbon/0.0
Area/3120 Carbon/571.2478637695312
Area/2832 Carbon/1290.3931884765625
Area/4579 Carbon/0.0
Area/3448 Carbon/734.4821166992188
Area/1681 Carbon/939.444580078125
Area/1414 Carbon/264.39068603515625
Area/3702 Carbon/463.0751647949219
Area/4032 Carbon/355.8179931640625
Area/4352 Carbon/381.31915283203125
Area/4399 Carbon/505.0778503417969
Area/2616 Carbon/444.4366760253906
Area/2 Carbon/177.15943908691406
Area/2752 Carbon/905.7039794921875
Area/4670 Carbon/0.0
Area/3185 Carbon/0.0
Area/5026 Carbon/0.0
Area/3766 Carbon/0.0
Area/4835 Carbon/0.0
Area/4512 Carbon/174.912353515625
Area/1207 Carbon/1218.601806640625
Area/783 Carbon/651.19580078125
Area/570 Carbon/265.20416259765625
Area/4212 Carbon/577.111572265625
Area/2659 Carbon/2062.7607421875
Area/4275 Carbon/211.12265014648438
Area/1744 Carbon/460.72509765625
Area/1791 Carbon/1570.3475341796875
Area/3088 Carbon/1035.52783203125
Area/4828 Carbon/0.0
Area/1343 Carbon/229.4095916748047
Area/5182 Carbon/0.0
Area/416 Carbon/163.29896545410156
Area/1193 Carbon/669.4620971679688
Area/2137 Carbon/3831.202880859375
Area/5153 Carbon/408.5757751464844
Area/1037 Carbon/892.0108032226562
Area/5129 Carbon/610.5005493164062
Area/3647 Carbon/818.9820556640625
Area/3021 Carbon/0.0
Area/4740 Carbon/504.4985046386719
Area/323 Carbon/202.12991333007812
Area/1997 Carbon/634.3718872070312
Area/4454 Carbon/432.7705078125
Area/442 Carbon/818.25830078125
Area/376 Carbon/681.7730102539062
Area/3232 Carbon/2030.1300048828125
Area/3208 Carbon/562.0166625976562
Area/84 Carbon/0.0
Area/2375 Carbon/1639.6470947265625
Area/4262 Carbon/0.0
Area/3729 Carbon/776.4024658203125
Area/5085 Carbon/0.0
Area/76 Carbon/205.52911376953125
Area/3028 Carbon/1058.58349609375
Area/3752 Carbon/1562.565673828125
Area/3488 Carbon/1434.9324951171875
Area/449 Carbon/633.5279541015625
Area/3497 Carbon/1290.06787109375
Area/3800 Carbon/782.0530395507812
Area/4373 Carbon/326.0679931640625
Area/17 Carbon/240.6671600341797
Area/3790 Carbon/522.8873291015625
Area/1621 Carbon/1147.71875
Area/1795 Carbon/1628.2449951171875
Area/3292 Carbon/551.8548583984375
Area/1151 Carbon/434.2062683105469
Area/1170 Carbon/325.613037109375
Area/3828 Carbon/1188.26025390625
Area/1574 Carbon/433.2866516113281
Area/1303 Carbon/869.4464111328125
Area/772 Carbon/1026.5391845703125
Area/2270 Carbon/442.6814880371094
Area/2791 Carbon/725.2817993164062
Area/104 Carbon/337.69403076171875
Area/586 Carbon/155.18577575683594
Area/1850 Carbon/943.6778564453125
Area/5114 Carbon/0.0
Area/1377 Carbon/1443.9959716796875
Area/4610 Carbon/0.0
Area/1269 Carbon/540.4525756835938
Area/3533 Carbon/510.2980651855469
Area/4079 Carbon/1174.78515625
Area/5087 Carbon/0.0
Area/2437 Carbon/287.9175720214844
Area/253 Carbon/290.29876708984375
Area/2220 Carbon/4257.30322265625
Area/826 Carbon/469.1163330078125
Area/2503 Carbon/933.5834350585938
Area/2464 Carbon/2136.43212890625
Area/1474 Carbon/1019.4674072265625
Area/2864 Carbon/443.9121398925781
Area/4128 Carbon/632.25341796875
Area/1319 Carbon/534.6552124023438
Area/3114 Carbon/957.5728759765625
Area/1283 Carbon/785.7535400390625
Area/2166 Carbon/765.5459594726562
Area/2660 Carbon/1973.8433837890625
Area/2362 Carbon/334.8428955078125
Area/1164 Carbon/262.4586181640625
Area/2322 Carbon/1919.2857666015625
Area/5219 Carbon/263.1715087890625
Area/1823 Carbon/770.236083984375
Area/1616 Carbon/818.8208618164062
Area/5119 Carbon/77.38053131103516
Area/2046 Carbon/2030.0574951171875
Area/4385 Carbon/561.3550415039062
Area/3050 Carbon/1168.941650390625
Area/4347 Carbon/0.0
Area/3287 Carbon/608.931884765625
Area/3521 Carbon/0.0
Area/45 Carbon/342.6636962890625
Area/1246 Carbon/227.2810516357422
Area/2213 Carbon/2362.28466796875
Area/2553 Carbon/4448.4951171875
Area/2973 Carbon/2085.724853515625
Area/519 Carbon/1347.284423828125
Area/1841 Carbon/855.716796875
Area/2242 Carbon/1278.5721435546875
Area/2238 Carbon/1783.6419677734375
Area/1046 Carbon/919.0449829101562
Area/3636 Carbon/595.8624267578125
Area/3468 Carbon/698.5255126953125
Area/1767 Carbon/874.3548583984375
Area/2885 Carbon/1783.6419677734375
Area/3574 Carbon/1506.441162109375
Area/480 Carbon/232.76327514648438
Area/423 Carbon/456.1146545410156
Area/3599 Carbon/0.0
Area/2215 Carbon/2757.755126953125
Area/865 Carbon/687.8970336914062
Area/4238 Carbon/859.9904174804688
Area/2801 Carbon/1900.085693359375
Area/51 Carbon/180.55552673339844
Area/4848 Carbon/60.36653518676758
Area/3238 Carbon/2420.7568359375
Area/962 Carbon/935.8240356445312
Area/4478 Carbon/459.08258056640625
Area/2505 Carbon/813.5784912109375
Area/478 Carbon/238.99195861816406
Area/2927 Carbon/527.3240356445312
Area/5053 Carbon/244.41012573242188
Area/55 Carbon/145.44334411621094
Area/301 Carbon/306.07269287109375
Area/1560 Carbon/1058.7879638671875
Area/4367 Carbon/0.0
Area/3975 Carbon/419.1516418457031
Area/2716 Carbon/1838.3585205078125
Area/225 Carbon/136.74302673339844
Area/3788 Carbon/443.14007568359375
Area/1730 Carbon/1153.158203125
Area/4957 Carbon/1833.1429443359375
Area/4765 Carbon/0.0
Area/1581 Carbon/240.9630126953125
Area/4600 Carbon/126.9288330078125
Area/4606 Carbon/0.0
Area/1634 Carbon/1248.730224609375
Area/1821 Carbon/906.5245971679688
Area/5174 Carbon/0.0
Area/216 Carbon/309.5604248046875
Area/2162 Carbon/935.6102294921875
Area/2582 Carbon/1199.8624267578125
Area/1442 Carbon/723.02587890625
Area/4371 Carbon/346.99566650390625
Area/1093 Carbon/154.59271240234375
Area/1006 Carbon/194.144775390625
Area/4931 Carbon/0.0
Area/3829 Carbon/1120.8314208984375
Area/1209 Carbon/1230.09814453125
Area/3589 Carbon/1309.6724853515625
Area/4959 Carbon/1625.708740234375
Area/1898 Carbon/1526.6513671875
Area/3486 Carbon/1209.61181640625
Area/3455 Carbon/630.1504516601562
Area/4884 Carbon/292.4278869628906
Area/4665 Carbon/0.0
Area/1128 Carbon/1099.6102294921875
Area/4271 Carbon/481.95782470703125
Area/944 Carbon/721.2784423828125
Area/2455 Carbon/845.0263671875
Area/1598 Carbon/490.298828125
Area/4221 Carbon/536.45849609375
Area/827 Carbon/533.26123046875
Area/2871 Carbon/591.6292114257812
Area/3730 Carbon/785.8338623046875
Area/2386 Carbon/4632.08056640625
Area/1758 Carbon/958.3403930664062
Area/3802 Carbon/681.1822509765625
Area/5238 Carbon/0.0
Area/2208 Carbon/1939.4034423828125
Area/3310 Carbon/1289.3062744140625
Area/4131 Carbon/1027.10888671875
Area/222 Carbon/171.48165893554688
Area/3483 Carbon/1128.0526123046875
Area/2363 Carbon/403.56536865234375
Area/3585 Carbon/1303.18896484375
Area/4657 Carbon/645.1239624023438
Area/4750 Carbon/0.0
Area/776 Carbon/894.7832641601562
Area/4961 Carbon/1086.0113525390625
Area/3883 Carbon/776.9409790039062
Area/2750 Carbon/1129.0958251953125
Area/4775 Carbon/0.0
Area/3266 Carbon/0.0
Area/810 Carbon/403.878173828125
Area/2312 Carbon/5172.61865234375
Area/4742 Carbon/450.3375244140625
Area/4344 Carbon/0.0
Area/3152 Carbon/2307.80859375
Area/4978 Carbon/270.89239501953125
Area/4676 Carbon/85.46119689941406
Area/1065 Carbon/421.0050048828125
Area/5240 Carbon/0.0
Area/5011 Carbon/0.0
Area/3446 Carbon/744.6038818359375
Area/2410 Carbon/1466.1278076171875
Area/4874 Carbon/1995.5596923828125
Area/617 Carbon/629.092041015625
Area/5045 Carbon/764.6585693359375
Area/3122 Carbon/522.0662231445312
Area/3398 Carbon/1468.013671875
Area/328 Carbon/211.18251037597656
Area/2052 Carbon/2354.49169921875
Area/5127 Carbon/902.341064453125
Area/4381 Carbon/522.7766723632812
Area/984 Carbon/286.16253662109375
Area/1694 Carbon/582.4520874023438
Area/1817 Carbon/1307.1929931640625
Area/3942 Carbon/393.9591064453125
Area/5228 Carbon/217.73529052734375
Area/2352 Carbon/384.1756896972656
Area/5046 Carbon/643.5707397460938
Area/1839 Carbon/671.2122192382812
Area/3893 Carbon/583.7513427734375
Area/2837 Carbon/889.8367309570312
Area/462 Carbon/698.87646484375
Area/3322 Carbon/2091.362060546875
Area/2314 Carbon/5322.4345703125
Area/4743 Carbon/415.0354919433594
Area/2230 Carbon/4568.740234375
Area/3348 Carbon/0.0
Area/2963 Carbon/958.0260620117188
Area/3861 Carbon/168.69561767578125
Area/1552 Carbon/1060.647216796875
Area/584 Carbon/244.2541961669922
Area/3436 Carbon/0.0
Area/3181 Carbon/217.20541381835938
Area/4654 Carbon/531.7626953125
Area/3650 Carbon/964.33447265625
Area/1078 Carbon/235.0984649658203
Area/246 Carbon/180.4534149169922
Area/505 Carbon/370.2802734375
Area/4290 Carbon/378.1087646484375
Area/860 Carbon/837.0910034179688
Area/3264 Carbon/0.0
Area/5050 Carbon/349.8011779785156
Area/40 Carbon/488.6548156738281
Area/4333 Carbon/0.0
Area/4240 Carbon/997.2185668945312
Area/454 Carbon/891.310791015625
Area/4708 Carbon/1067.0523681640625
Area/2168 Carbon/843.4866943359375
Area/1613 Carbon/643.6343994140625
Area/3817 Carbon/858.6663818359375
Area/1602 Carbon/407.32403564453125
Area/638 Carbon/492.8183288574219
Area/3852 Carbon/0.0
Area/2982 Carbon/2674.315185546875
Area/1787 Carbon/1142.2752685546875
Area/4424 Carbon/0.0
Area/5145 Carbon/217.73529052734375
Area/969 Carbon/0.0
Area/2063 Carbon/3378.4072265625
Area/3217 Carbon/1023.6952514648438
Area/3237 Carbon/2191.033203125
Area/1525 Carbon/669.2005004882812
Area/304 Carbon/234.54014587402344
Area/4495 Carbon/847.96728515625
Area/251 Carbon/132.78907775878906
Area/1192 Carbon/679.732177734375
Area/460 Carbon/813.8727416992188
Area/2998 Carbon/1527.0673828125
Area/1388 Carbon/0.0
Area/3728 Carbon/758.671630859375
Area/3404 Carbon/1626.63525390625
Area/4073 Carbon/1012.6844482421875
Area/2648 Carbon/8785.146484375
Area/1465 Carbon/1181.322265625
Area/145 Carbon/110.38440704345703
Area/3204 Carbon/576.8638916015625
Area/764 Carbon/778.4169921875
Area/3891 Carbon/432.0998840332031
Area/424 Carbon/592.6665649414062
Area/4755 Carbon/0.0
Area/934 Carbon/687.281005859375
Area/4078 Carbon/1248.19482421875
Area/730 Carbon/411.858154296875
Area/2338 Carbon/905.5189208984375
Area/4767 Carbon/0.0
Area/3442 Carbon/0.0
Area/5273 Carbon/0.0
Area/5149 Carbon/339.7323913574219
Area/44 Carbon/383.151123046875
Area/484 Carbon/262.1612548828125
Area/4839 Carbon/0.0
Area/3783 Carbon/307.0834655761719
Area/1194 Carbon/691.5140991210938
Area/1769 Carbon/649.2948608398438
Area/1461 Carbon/1541.391845703125
Area/1492 Carbon/330.12213134765625
Area/1825 Carbon/634.2734985351562
Area/176 Carbon/441.5487976074219
Area/2958 Carbon/694.6878051757812
Area/3165 Carbon/1277.1973876953125
Area/3334 Carbon/1142.860595703125
Area/334 Carbon/136.22836303710938
Area/781 Carbon/710.6554565429688
Area/2100 Carbon/655.6763305664062
Area/1313 Carbon/816.021484375
Area/4151 Carbon/637.1851806640625
Area/4872 Carbon/2334.328125
Area/467 Carbon/0.0
Area/3803 Carbon/613.1643676757812
Area/4571 Carbon/587.7228393554688
Area/4488 Carbon/630.9091186523438
Area/1392 Carbon/872.9889526367188
Area/549 Carbon/550.905517578125
Area/577 Carbon/536.4288330078125
Area/1308 Carbon/869.4663696289062
Area/2089 Carbon/768.4374389648438
Area/3716 Carbon/807.3642578125
Area/3758 Carbon/1326.5272216796875
Area/4163 Carbon/1020.0911254882812
Area/1755 Carbon/668.654052734375
Area/4964 Carbon/534.1052856445312
Area/2412 Carbon/1286.2796630859375
Area/3478 Carbon/847.2888793945312
Area/3985 Carbon/805.5836181640625
Area/2897 Carbon/4674.1318359375
Area/4253 Carbon/0.0
Area/2351 Carbon/0.0
Area/1843 Carbon/1186.1153564453125
Area/1854 Carbon/590.4867553710938
Area/3437 Carbon/0.0
Area/91 Carbon/357.97998046875
Area/5002 Carbon/0.0
Area/4047 Carbon/1060.450439453125
Area/2545 Carbon/1446.6876220703125
Area/2060 Carbon/3278.29833984375
Area/1638 Carbon/1116.9903564453125
Area/578 Carbon/550.8441162109375
Area/2823 Carbon/3558.200927734375
Area/1048 Carbon/879.4388427734375
Area/797 Carbon/919.7246704101562
Area/4009 Carbon/0.0
Area/1856 Carbon/565.0888671875
Area/419 Carbon/95.45252227783203
Area/2143 Carbon/3744.50634765625
Area/872 Carbon/847.0859985351562
Area/2586 Carbon/982.0260009765625
Area/3450 Carbon/786.1305541992188
Area/2212 Carbon/2356.148193359375
Area/1059 Carbon/611.1493530273438
Area/2150 Carbon/2400.666015625
Area/3882 Carbon/811.0907592773438
Area/74 Carbon/226.46197509765625
Area/3110 Carbon/1025.036376953125
Area/1418 Carbon/307.25531005859375
Area/4827 Carbon/0.0
Area/713 Carbon/890.8690795898438
Area/5040 Carbon/1303.274658203125
Area/3458 Carbon/647.1322631835938
Area/1213 Carbon/1071.8720703125
Area/420 Carbon/252.9188690185547
Area/2467 Carbon/3158.8583984375
Area/5190 Carbon/0.0
Area/1153 Carbon/345.52142333984375
Area/3821 Carbon/982.775634765625
Area/4232 Carbon/519.777099609375
Area/1412 Carbon/238.07440185546875
Area/2623 Carbon/718.9130249023438
Area/628 Carbon/886.0260620117188
Area/1044 Carbon/958.0381469726562
Area/1722 Carbon/1205.2940673828125
Area/1799 Carbon/1686.2322998046875
Area/2344 Carbon/713.595703125
Area/130 Carbon/320.1970520019531
Area/2882 Carbon/1217.120849609375
Area/468 Carbon/380.5071716308594
Area/3528 Carbon/428.4913024902344
Area/5038 Carbon/70.3836898803711
Area/4064 Carbon/509.3161926269531
Area/1435 Carbon/439.56158447265625
Area/3966 Carbon/923.1332397460938
Area/4805 Carbon/263.0391845703125
Area/1132 Carbon/904.2623901367188
Area/4985 Carbon/472.81207275390625
Area/569 Carbon/317.8525390625
Area/4776 Carbon/0.0
Area/3536 Carbon/631.8564453125
Area/576 Carbon/531.191162109375
Area/3031 Carbon/799.1451416015625
Area/1802 Carbon/1771.7017822265625
Area/1746 Carbon/391.4228820800781
Area/3308 Carbon/1158.2529296875
Area/4186 Carbon/523.7749633789062
Area/1752 Carbon/378.468017578125
Area/5008 Carbon/0.0
Area/1796 Carbon/1751.6915283203125
Area/161 Carbon/209.2086944580078
Area/3153 Carbon/2320.175048828125
Area/769 Carbon/1123.0159912109375
Area/491 Carbon/406.9424133300781
Area/1500 Carbon/293.5589599609375
Area/1697 Carbon/651.75048828125
Area/2169 Carbon/862.4630126953125
Area/293 Carbon/478.2084045410156
Area/2183 Carbon/451.1805725097656
Area/1931 Carbon/1399.3592529296875
Area/2130 Carbon/2269.132080078125
Area/5281 Carbon/30.77937889099121
Area/1859 Carbon/572.350341796875
Area/1770 Carbon/588.0426025390625
Area/3135 Carbon/1134.351318359375
Area/982 Carbon/362.3166809082031
Area/2260 Carbon/731.4783325195312
