Area/3147 GDP/126.943603515625
Area/643 GDP/340.7491455078125
Area/6434 GDP/34519.80078125
Area/1665 GDP/432.5957336425781
Area/1691 GDP/962.890380859375
Area/738 GDP/1862.2259521484375
Area/2130 GDP/470.8636474609375
Area/7318 GDP/9.528892517089844
Area/4993 GDP/24509.748046875
Area/6743 GDP/1239.15380859375
Area/1409 GDP/301.61151123046875
Area/5512 GDP/11206.4765625
Area/1141 GDP/538.7872314453125
Area/1518 GDP/12721.0146484375
Area/8219 GDP/17305.2265625
Area/2682 GDP/23907.919921875
Area/7627 GDP/50.547447204589844
Area/5758 GDP/49177.234375
Area/2612 GDP/16680.83984375
Area/7141 GDP/4633.5498046875
Area/417 GDP/0.0
Area/8085 GDP/10266.1142578125
Area/7483 GDP/1130.1849365234375
Area/6177 GDP/10000.0
Area/5502 GDP/35885.5390625
Area/6676 GDP/10003.455078125
Area/1135 GDP/547.7086791992188
Area/2489 GDP/25395.755859375
Area/5885 GDP/49725.7265625
Area/7063 GDP/48.387413024902344
Area/168 GDP/2.7543017864227295
Area/5520 GDP/1484.30810546875
Area/4266 GDP/37228.0625
Area/3929 GDP/34142.81640625
Area/4330 GDP/8478.794921875
Area/445 GDP/10140.7353515625
Area/2011 GDP/414.7373962402344
Area/7709 GDP/930.6908569335938
Area/1303 GDP/42651.1875
Area/1410 GDP/506.00830078125
Area/6031 GDP/10000.0
Area/1521 GDP/4516.3623046875
Area/6720 GDP/16729.703125
Area/2449 GDP/0.0
Area/5138 GDP/10038.2568359375
Area/5089 GDP/561.384765625
Area/4833 GDP/10013.091796875
Area/3256 GDP/31.603126525878906
Area/4448 GDP/573.4979248046875
Area/8075 GDP/30808.71484375
Area/2686 GDP/41586.27734375
Area/1298 GDP/6657.4658203125
Area/4132 GDP/18297.541015625
Area/5226 GDP/14653.0166015625
Area/3756 GDP/10186.5185546875
Area/3401 GDP/571.3846435546875
Area/5782 GDP/290.2027893066406
Area/554 GDP/0.0
Area/81 GDP/219.02252197265625
Area/5608 GDP/37083.859375
Area/5392 GDP/10000.0
Area/3410 GDP/25743.953125
Area/5948 GDP/36057.6015625
Area/3090 GDP/486.68780517578125
Area/7022 GDP/10000.0
Area/2845 GDP/19459.20703125
Area/1777 GDP/13502.4384765625
Area/4326 GDP/92.26817321777344
Area/153 GDP/353.4271240234375
Area/225 GDP/324.1720275878906
Area/5007 GDP/19141.33203125
Area/5784 GDP/358.24664306640625
Area/415 GDP/12549.8154296875
Area/4178 GDP/569.9523315429688
Area/8122 GDP/28570.6171875
Area/4901 GDP/27283.62109375
Area/5798 GDP/25670.896484375
Area/1854 GDP/447.0679931640625
Area/4342 GDP/486.68780517578125
Area/7295 GDP/10126.6201171875
Area/5777 GDP/26282.22265625
Area/802 GDP/13.617895126342773
Area/5541 GDP/10101.291015625
Area/248 GDP/2.7543017864227295
Area/7926 GDP/4621.18896484375
Area/3380 GDP/10000.04296875
Area/7905 GDP/336.2461853027344
Area/7500 GDP/12987.9091796875
Area/7087 GDP/10269.8935546875
Area/6498 GDP/15524.83203125
Area/7863 GDP/10255.1416015625
Area/6124 GDP/10000.0
Area/6478 GDP/10000.7255859375
Area/356 GDP/151.9405059814453
Area/2656 GDP/0.0
Area/1875 GDP/577.0094604492188
Area/4969 GDP/22013.322265625
Area/4053 GDP/2195.030517578125
Area/3774 GDP/13181.7880859375
Area/4278 GDP/486.2449951171875
Area/2863 GDP/0.0
Area/6315 GDP/10015.4384765625
Area/1097 GDP/21698.013671875
Area/5279 GDP/47432.2890625
Area/4049 GDP/128.82949829101562
Area/8144 GDP/14229.5205078125
Area/4369 GDP/10000.0
Area/4710 GDP/10247.7744140625
Area/3383 GDP/10002.8759765625
Area/7205 GDP/2280.00537109375
Area/737 GDP/21587.125
Area/2179 GDP/13608.1728515625
Area/1364 GDP/35972.65234375
Area/7886 GDP/219.46881103515625
Area/1565 GDP/27155.54296875
Area/57 GDP/0.0
Area/4661 GDP/28252.998046875
Area/4069 GDP/4507.3125
Area/858 GDP/2240.32763671875
Area/6654 GDP/19935.095703125
Area/2538 GDP/26694.3671875
Area/6066 GDP/10064.337890625
Area/8294 GDP/9531.447265625
Area/282 GDP/60.403133392333984
Area/280 GDP/20809.634765625
Area/1047 GDP/0.0
Area/8134 GDP/10000.98828125
Area/5263 GDP/32663.369140625
Area/5953 GDP/10000.0
Area/1088 GDP/39998.14453125
Area/3024 GDP/6048.7001953125
Area/6746 GDP/10000.0
Area/98 GDP/2.7543017864227295
Area/495 GDP/11392.681640625
Area/6615 GDP/641.1461181640625
Area/816 GDP/29.4796085357666
Area/6309 GDP/10000.0703125
Area/6844 GDP/10000.734375
Area/2379 GDP/0.0
Area/2310 GDP/833.46142578125
Area/2436 GDP/581.1199340820312
Area/3835 GDP/561.384765625
Area/3426 GDP/2653.803955078125
Area/3079 GDP/17637.0703125
Area/7657 GDP/30888.57421875
Area/3413 GDP/10089.599609375
Area/5807 GDP/13436.873046875
Area/7108 GDP/12.34335708618164
Area/3888 GDP/581.2000732421875
Area/4279 GDP/22430.833984375
Area/8378 GDP/2435.178955078125
Area/1280 GDP/533.20556640625
Area/7776 GDP/8272.583984375
Area/5325 GDP/10000.0
Area/6904 GDP/9.528892517089844
Area/1300 GDP/2717.912841796875
Area/3176 GDP/10006.5693359375
Area/2460 GDP/486.68780517578125
Area/5035 GDP/21991.248046875
Area/7260 GDP/254.35435485839844
Area/6775 GDP/7426.0068359375
Area/6653 GDP/14640.9287109375
Area/5181 GDP/10000.0
Area/4462 GDP/4984.9853515625
Area/2224 GDP/571.7572021484375
Area/5182 GDP/10000.0
Area/3990 GDP/800.6104125976562
Area/3566 GDP/24623.5078125
Area/7325 GDP/40519.37890625
Area/3305 GDP/46735.9453125
Area/2821 GDP/30747.759765625
Area/2462 GDP/17025.98828125
Area/5312 GDP/25424.1875
Area/7981 GDP/32808.26953125
Area/3255 GDP/31.603126525878906
Area/6364 GDP/17747.345703125
Area/470 GDP/32657.013671875
Area/5507 GDP/576.5206909179688
Area/3776 GDP/15274.263671875
Area/5682 GDP/10078.7822265625
Area/915 GDP/310.17755126953125
Area/7463 GDP/24.96985626220703
Area/2520 GDP/11758.7080078125
Area/320 GDP/2.7543017864227295
Area/6729 GDP/23961.462890625
Area/502 GDP/346.2911376953125
Area/4607 GDP/2373.484375
Area/4586 GDP/10125.52734375
Area/2464 GDP/15485.4462890625
Area/5810 GDP/10063.7333984375
Area/35 GDP/2.7543017864227295
Area/4324 GDP/561.384765625
Area/1770 GDP/508.760498046875
Area/781 GDP/4790.14501953125
Area/5365 GDP/573.3637084960938
Area/3977 GDP/174.82138061523438
Area/4555 GDP/7386.94921875
Area/3451 GDP/13538.306640625
Area/4682 GDP/719.380859375
Area/5077 GDP/19141.33203125
Area/7809 GDP/82.38736724853516
Area/8248 GDP/2.1410934925079346
Area/689 GDP/0.0
Area/7431 GDP/14039.783203125
Area/7154 GDP/21645.2109375
Area/2311 GDP/833.46142578125
Area/7838 GDP/56.437191009521484
Area/6341 GDP/10003.453125
Area/4125 GDP/27148.734375
Area/5744 GDP/10064.001953125
Area/2880 GDP/486.68780517578125
Area/2294 GDP/580.8776245117188
Area/4570 GDP/26511.80078125
Area/4862 GDP/10000.0
Area/3244 GDP/22329.35546875
Area/5642 GDP/581.4164428710938
Area/7761 GDP/337.99468994140625
Area/5886 GDP/26056.376953125
Area/6126 GDP/10000.0
Area/486 GDP/0.0
Area/8188 GDP/183.43484497070312
Area/5567 GDP/19520.14453125
Area/270 GDP/0.0
Area/3120 GDP/578.770263671875
Area/7317 GDP/9.528892517089844
Area/4282 GDP/10000.0
Area/2430 GDP/569.8140869140625
Area/6329 GDP/10000.0
Area/1755 GDP/20107.068359375
Area/3529 GDP/898.7962036132812
Area/1339 GDP/301.61151123046875
Area/6966 GDP/13.39188289642334
Area/5382 GDP/13399.4951171875
Area/2044 GDP/42651.1875
Area/6044 GDP/10240.1044921875
Area/7840 GDP/19814.95703125
Area/734 GDP/6127.06982421875
Area/3231 GDP/486.68780517578125
Area/7358 GDP/470.9541931152344
Area/3012 GDP/486.68780517578125
Area/7718 GDP/24172.041015625
Area/147 GDP/1694.489501953125
Area/5481 GDP/19558.4453125
Area/7847 GDP/554.2784423828125
Area/2158 GDP/581.4164428710938
Area/7252 GDP/2707.593994140625
Area/4785 GDP/10002.3056640625
Area/1086 GDP/42651.1875
Area/3366 GDP/35006.1015625
Area/7778 GDP/573.5921020507812
Area/7719 GDP/31099.853515625
Area/4756 GDP/37228.0625
Area/4394 GDP/561.384765625
Area/7512 GDP/10233.40625
Area/3045 GDP/567.512451171875
Area/2631 GDP/482.21258544921875
Area/978 GDP/0.0
Area/548 GDP/0.0
Area/4950 GDP/561.384765625
Area/4000 GDP/38658.47265625
Area/2603 GDP/486.68780517578125
Area/2954 GDP/439.7236633300781
Area/2876 GDP/405.59197998046875
Area/797 GDP/32778.51953125
Area/5069 GDP/10154.423828125
Area/2748 GDP/17228.02734375
Area/2569 GDP/575.9237670898438
Area/7459 GDP/65.63105773925781
Area/7329 GDP/13174.11328125
Area/1585 GDP/855.5596923828125
Area/250 GDP/2.7543017864227295
Area/2849 GDP/18337.115234375
Area/1295 GDP/14577.36328125
Area/6675 GDP/716.3212280273438
Area/6289 GDP/41899.37890625
Area/2830 GDP/559.8616333007812
Area/4926 GDP/10055.1767578125
Area/6854 GDP/2802.4375
Area/1142 GDP/2748.637451171875
Area/5345 GDP/10038.904296875
Area/497 GDP/10418.1376953125
Area/1455 GDP/22532.814453125
Area/434 GDP/310.8178405761719
Area/881 GDP/42506.1796875
Area/2333 GDP/15839.0126953125
Area/5730 GDP/8391.92578125
Area/879 GDP/29877.982421875
Area/6530 GDP/10001.42578125
Area/8043 GDP/286.1071472167969
Area/4042 GDP/561.384765625
Area/3338 GDP/576.8292236328125
Area/3883 GDP/10377.76953125
Area/537 GDP/202.51416015625
Area/2116 GDP/30394.193359375
Area/1258 GDP/0.0
Area/6336 GDP/10000.0
Area/1050 GDP/372.7579040527344
Area/264 GDP/0.0
Area/6636 GDP/10003.1005859375
Area/3500 GDP/486.68780517578125
Area/1444 GDP/42651.1875
Area/943 GDP/39081.40625
Area/500 GDP/330.2833557128906
Area/6659 GDP/3477.5419921875
Area/3411 GDP/12136.89453125
Area/7270 GDP/5244.09033203125
Area/649 GDP/2.7543017864227295
Area/7868 GDP/581.4164428710938
Area/4779 GDP/8242.6884765625
Area/2619 GDP/15779.671875
Area/5271 GDP/580.7213134765625
Area/5944 GDP/37228.0625
Area/4384 GDP/574.9421997070312
Area/3613 GDP/581.4164428710938
Area/3431 GDP/14987.498046875
Area/4332 GDP/7784.62890625
Area/8191 GDP/580.0439453125
Area/1622 GDP/30985.65625
Area/6270 GDP/10001.5302734375
Area/4465 GDP/92.26817321777344
Area/1588 GDP/411.73779296875
Area/3254 GDP/41371.40234375
Area/7602 GDP/9.528892517089844
Area/1029 GDP/1239.6905517578125
Area/3995 GDP/10055.6767578125
Area/438 GDP/479.86102294921875
Area/3442 GDP/14426.060546875
Area/7941 GDP/10248.3232421875
Area/5044 GDP/10000.0
Area/5031 GDP/26649.365234375
Area/1820 GDP/30490.576171875
Area/4965 GDP/21441.63671875
Area/6130 GDP/36222.4140625
Area/4678 GDP/210.29295349121094
Area/3954 GDP/580.881591796875
Area/2190 GDP/19580.931640625
Area/850 GDP/305.13323974609375
Area/7519 GDP/19090.3515625
Area/1487 GDP/816.7145385742188
Area/853 GDP/333.52069091796875
Area/6709 GDP/11503.51171875
Area/7411 GDP/7196.70703125
Area/5563 GDP/10045.767578125
Area/7849 GDP/10250.931640625
Area/540 GDP/17422.712890625
Area/4908 GDP/429.1820068359375
Area/2087 GDP/581.4164428710938
Area/1983 GDP/24779.2109375
Area/2961 GDP/10000.0
Area/590 GDP/25041.6484375
Area/296 GDP/304.0304870605469
Area/3447 GDP/24307.044921875
Area/5364 GDP/566.3466186523438
Area/3151 GDP/486.68780517578125
Area/6538 GDP/10000.0
Area/1634 GDP/35989.0
Area/5432 GDP/24973.052734375
Area/4364 GDP/14.716337203979492
Area/7842 GDP/16374.458984375
Area/2161 GDP/581.4164428710938
Area/4959 GDP/19621.294921875
Area/6025 GDP/10017.5107421875
Area/780 GDP/309.764892578125
Area/5307 GDP/9.4744291305542
Area/1656 GDP/406.6044921875
Area/3141 GDP/25381.546875
Area/1159 GDP/39998.14453125
Area/7912 GDP/16374.458984375
Area/4172 GDP/33787.3125
Area/4267 GDP/37228.0625
Area/6667 GDP/10000.0
Area/4978 GDP/429.1820068359375
Area/6461 GDP/9643.205078125
Area/141 GDP/348.9518127441406
Area/2315 GDP/337.332763671875
Area/2640 GDP/565.6514892578125
Area/3444 GDP/49023.95703125
Area/811 GDP/10973.9580078125
Area/3939 GDP/27171.916015625
Area/5466 GDP/41670.77734375
Area/2643 GDP/40697.98828125
Area/5630 GDP/31758.681640625
Area/2031 GDP/11749.9306640625
Area/7168 GDP/27124.80859375
Area/5954 GDP/10000.0
Area/8155 GDP/1187.478515625
Area/4365 GDP/23420.814453125
Area/8430 GDP/20194.29296875
Area/4910 GDP/429.1820068359375
Area/3970 GDP/561.384765625
Area/7217 GDP/1148.5859375
Area/5231 GDP/8685.4912109375
Area/4316 GDP/574.3512573242188
Area/3409 GDP/24073.4140625
Area/8124 GDP/10071.88671875
Area/3436 GDP/14812.427734375
Area/2864 GDP/0.0
Area/7118 GDP/9.528892517089844
Area/7366 GDP/10609.8251953125
Area/4584 GDP/10000.0
Area/4841 GDP/429.1820068359375
Area/7802 GDP/10165.8349609375
Area/6333 GDP/48973.90234375
Area/5689 GDP/10257.84375
Area/8510 GDP/947.0123291015625
Area/5337 GDP/3742.164794921875
Area/7506 GDP/20782.4609375
Area/5286 GDP/10000.52734375
Area/5714 GDP/561.384765625
Area/536 GDP/16.398698806762695
Area/7399 GDP/9.528892517089844
Area/4657 GDP/10217.5078125
Area/2293 GDP/570.268798828125
Area/338 GDP/0.0
Area/8346 GDP/10000.0
Area/7104 GDP/9.528892517089844
Area/3554 GDP/50082.9375
Area/5504 GDP/581.4044799804688
Area/6714 GDP/2528.6806640625
Area/283 GDP/166.2562255859375
Area/4821 GDP/5394.25927734375
Area/4751 GDP/23958.12109375
Area/4622 GDP/39648.53515625
Area/3361 GDP/27991.140625
Area/5883 GDP/10000.0
Area/5988 GDP/10008.8701171875
Area/3128 GDP/575.6092529296875
Area/82 GDP/319.38226318359375
Area/4879 GDP/564.834228515625
Area/8086 GDP/16789.744140625
Area/6048 GDP/10000.0
Area/105 GDP/2.7543017864227295
Area/7165 GDP/31908.525390625
Area/1681 GDP/31243.068359375
Area/7817 GDP/10.50110149383545
Area/4046 GDP/104.4137191772461
Area/3983 GDP/188.20449829101562
Area/4225 GDP/8307.076171875
Area/4269 GDP/19134.548828125
Area/5912 GDP/10059.576171875
Area/4174 GDP/9773.1943359375
Area/5828 GDP/10066.8046875
Area/2709 GDP/581.400390625
Area/5542 GDP/10101.291015625
Area/6758 GDP/40238.59765625
Area/3973 GDP/574.7418823242188
Area/4354 GDP/18611.142578125
Area/4552 GDP/39648.53515625
Area/8194 GDP/1739.86572265625
Area/5855 GDP/10119.7998046875
Area/3867 GDP/9861.25390625
Area/1456 GDP/16722.119140625
Area/8021 GDP/333.9035339355469
Area/1825 GDP/3341.887939453125
Area/4481 GDP/26083.45703125
Area/4700 GDP/3965.26611328125
Area/4877 GDP/10073.0244140625
Area/3629 GDP/92.26817321777344
Area/5672 GDP/10033.0146484375
Area/1907 GDP/30507.83984375
Area/4711 GDP/10227.9755859375
Area/1201 GDP/559.8616333007812
Area/369 GDP/559.8616333007812
Area/5899 GDP/10000.0
Area/5662 GDP/18228.734375
Area/751 GDP/17924.4609375
Area/3685 GDP/28891.654296875
Area/1580 GDP/2214.6982421875
Area/1629 GDP/33635.2265625
Area/8244 GDP/28.085954666137695
Area/4927 GDP/34578.6953125
Area/4952 GDP/92.26817321777344
Area/1491 GDP/20036.798828125
Area/5870 GDP/29153.5546875
Area/50 GDP/24613.4453125
Area/6469 GDP/10000.0
Area/860 GDP/27930.498046875
Area/4665 GDP/38142.39453125
Area/1712 GDP/21623.76953125
Area/8468 GDP/2.1410934925079346
Area/8533 GDP/52.29596710205078
Area/8199 GDP/47835.0
Area/5750 GDP/44160.04296875
Area/3096 GDP/42051.25
Area/3974 GDP/561.6692504882812
Area/6011 GDP/8960.9482421875
Area/5125 GDP/18231.046875
Area/294 GDP/318.9854736328125
Area/5864 GDP/10028.4619140625
Area/4626 GDP/7430.4306640625
Area/6256 GDP/10000.0
Area/1670 GDP/0.0
Area/1774 GDP/12575.1923828125
Area/822 GDP/24278.244140625
Area/3510 GDP/486.68780517578125
Area/2176 GDP/3881.67626953125
Area/36 GDP/2.7543017864227295
Area/1200 GDP/301.61151123046875
Area/97 GDP/22892.16796875
Area/4559 GDP/473.21417236328125
Area/4486 GDP/38290.21875
Area/827 GDP/0.0
Area/7584 GDP/10216.9267578125
Area/7647 GDP/578.6220703125
Area/5873 GDP/28950.49609375
Area/7413 GDP/1130.1849365234375
Area/3544 GDP/579.833984375
Area/5913 GDP/10058.59765625
Area/931 GDP/1922.6204833984375
Area/4327 GDP/146.7216339111328
Area/5357 GDP/7145.2265625
Area/5537 GDP/10065.8798828125
Area/3752 GDP/581.4164428710938
