Area/3147 Light/12.6225004196167
Area/6818 Light/18.331249237060547
Area/7181 Light/6.458749771118164
Area/4864 Light/27.9375
Area/4650 Light/40.65999984741211
Area/7567 Light/3.6062498092651367
Area/1120 Light/11.517499923706055
Area/5617 Light/28.861251831054688
Area/8284 Light/130.52249145507812
Area/2529 Light/8.53749942779541
Area/6317 Light/60.32500076293945
Area/3153 Light/6.140000343322754
Area/1198 Light/17.371248245239258
Area/1570 Light/9.032500267028809
Area/864 Light/16.122499465942383
Area/6484 Light/42.70499801635742
Area/7806 Light/3.0637502670288086
Area/1788 Light/5.297500133514404
Area/699 Light/0
Area/7695 Light/2.9100000858306885
Area/5121 Light/15.327500343322754
Area/292 Light/3.7249999046325684
Area/3271 Light/21.104999542236328
Area/5664 Light/11.90250015258789
Area/1967 Light/5.875
Area/888 Light/10.72874927520752
Area/650 Light/10.662500381469727
Area/2575 Light/10.86875057220459
Area/4649 Light/30.9950008392334
Area/6946 Light/15.817499160766602
Area/8420 Light/14.333749771118164
Area/3940 Light/16.87874984741211
Area/1330 Light/25.998748779296875
Area/6383 Light/37.35000228881836
Area/2714 Light/13.5287504196167
Area/288 Light/1.8524999618530273
Area/3062 Light/7.308749675750732
Area/2395 Light/20.076251983642578
Area/1106 Light/10.422499656677246
Area/3675 Light/7.213749885559082
Area/7493 Light/6.773749828338623
Area/2135 Light/5.086250305175781
Area/5440 Light/50.68375015258789
Area/3754 Light/9.922499656677246
Area/5967 Light/41.62999725341797
Area/1441 Light/23.0625
Area/399 Light/5.032500267028809
Area/654 Light/17.166250228881836
Area/3696 Light/9.389999389648438
Area/2931 Light/0
Area/7101 Light/9.108749389648438
Area/7129 Light/4.516250133514404
Area/2561 Light/10.301250457763672
Area/7562 Light/3.3862500190734863
Area/3519 Light/26.770000457763672
Area/5358 Light/24.323749542236328
Area/6834 Light/12.72874927520752
Area/230 Light/3.0062499046325684
Area/2940 Light/5.948750019073486
Area/6911 Light/24.24250030517578
Area/4072 Light/19.782501220703125
Area/8238 Light/11.697500228881836
Area/7687 Light/6.329999923706055
Area/8133 Light/16.478750228881836
Area/920 Light/3.0437498092651367
Area/7632 Light/4.202499866485596
Area/2393 Light/16.547500610351562
Area/5350 Light/14.258750915527344
Area/5375 Light/13.292500495910645
Area/5209 Light/38.02750015258789
Area/5494 Light/30.597497940063477
Area/4309 Light/8.563749313354492
Area/6458 Light/43.099998474121094
Area/8427 Light/44.873748779296875
Area/8291 Light/8.335000038146973
Area/6231 Light/12.407500267028809
Area/5926 Light/19.457500457763672
Area/3635 Light/11.285000801086426
Area/7079 Light/6.158749580383301
Area/6862 Light/13.167500495910645
Area/8142 Light/27.19999885559082
Area/166 Light/8.9375
Area/6059 Light/28.68874740600586
Area/2841 Light/3.7249999046325684
Area/3604 Light/9.3100004196167
Area/165 Light/8.663749694824219
Area/7061 Light/6.337500095367432
Area/5632 Light/36.157501220703125
Area/4287 Light/12.536250114440918
Area/8451 Light/7.566249847412109
Area/771 Light/3.0687499046325684
Area/2938 Light/0
Area/3217 Light/6.106249809265137
Area/6435 Light/17.969999313354492
Area/6312 Light/45.806251525878906
Area/3678 Light/12.36500072479248
Area/4753 Light/8.010000228881836
Area/3046 Light/6.642499923706055
Area/746 Light/2.4825000762939453
Area/1890 Light/17.146249771118164
Area/6272 Light/34.10249710083008
Area/2737 Light/6.079999923706055
Area/5568 Light/9.59000015258789
Area/8395 Light/2.380000114440918
Area/154 Light/2.5124998092651367
Area/2454 Light/7.905000686645508
Area/4588 Light/25.395000457763672
Area/49 Light/6.142499923706055
Area/3703 Light/13.582500457763672
Area/1850 Light/4.853750228881836
Area/2455 Light/11.61500072479248
Area/4480 Light/11.867500305175781
Area/7126 Light/6.632499694824219
Area/7452 Light/7.434999465942383
Area/7693 Light/6.353750228881836
Area/7723 Light/10.34375
Area/1567 Light/14.437499046325684
Area/1939 Light/5.493750095367432
Area/4378 Light/17.991249084472656
Area/5474 Light/39.689998626708984
Area/7708 Light/4.795000076293945
Area/7473 Light/5.659999847412109
Area/7617 Light/7.150000095367432
Area/4181 Light/12.211250305175781
Area/4655 Light/31.126251220703125
Area/7597 Light/2.8862500190734863
Area/1324 Light/0
Area/1305 Light/23.926250457763672
Area/5470 Light/22.829999923706055
Area/501 Light/3.497499942779541
Area/5684 Light/27.16625213623047
Area/1530 Light/-8.507057651842741e+37
Area/305 Light/6.795000076293945
Area/4112 Light/12.012500762939453
Area/7882 Light/2.75
Area/3831 Light/13.510000228881836
Area/4123 Light/21.780000686645508
Area/1515 Light/10.1850004196167
Area/8335 Light/6.949999809265137
Area/2662 Light/4.6875
Area/1139 Light/13.186249732971191
Area/998 Light/7.436249732971191
Area/3377 Light/11.227499008178711
Area/4052 Light/24.19499969482422
Area/4770 Light/16.719999313354492
Area/1641 Light/6.613750457763672
Area/1672 Light/0
Area/5647 Light/20.38250160217285
Area/4341 Light/12.380000114440918
Area/6207 Light/19.988750457763672
Area/4414 Light/8.600000381469727
Area/8453 Light/3.5325002670288086
Area/8296 Light/14.335000991821289
Area/5188 Light/18.306249618530273
Area/1060 Light/3.5774998664855957
Area/1048 Light/0
Area/6081 Light/37.36750030517578
Area/4589 Light/26.60624885559082
Area/922 Light/2.617499828338623
Area/3897 Light/19.204999923706055
Area/2965 Light/22.956249237060547
Area/6269 Light/28.954998016357422
Area/6033 Light/33.08250045776367
Area/865 Light/20.431249618530273
Area/6163 Light/16.079999923706055
Area/88 Light/1.5712499618530273
Area/2802 Light/6.862499713897705
Area/1447 Light/21.447500228881836
Area/2472 Light/8.230000495910645
Area/8153 Light/8.12874984741211
Area/16 Light/1.6974999904632568
Area/6922 Light/4.24875020980835
Area/7388 Light/2.877500057220459
Area/6825 Light/9.692500114440918
Area/6649 Light/7.311249732971191
Area/2932 Light/0
Area/1024 Light/22.58500099182129
Area/1192 Light/9.633750915527344
Area/4154 Light/9.803750991821289
Area/3673 Light/8.271249771118164
Area/5808 Light/14.649999618530273
Area/2815 Light/6.496250152587891
Area/6462 Light/13.953750610351562
Area/1637 Light/8.979999542236328
Area/5640 Light/8.789999961853027
Area/4541 Light/10.47874927520752
Area/1994 Light/7.190000057220459
Area/3078 Light/16.207500457763672
Area/5766 Light/33.97875213623047
Area/7930 Light/12.27750015258789
Area/3326 Light/13.176250457763672
Area/7692 Light/4.684999942779541
Area/4439 Light/35.6462516784668
Area/3403 Light/7.636250019073486
Area/7122 Light/2.973749876022339
Area/7135 Light/2.6862499713897705
Area/45 Light/1.7024998664855957
Area/6850 Light/8.766250610351562
Area/3537 Light/11.002500534057617
Area/901 Light/0
Area/2716 Light/4.949999809265137
Area/7021 Light/36.28874969482422
Area/3038 Light/15.969999313354492
Area/7903 Light/6.975000381469727
Area/789 Light/5.529999732971191
Area/2403 Light/8.039999961853027
Area/4782 Light/28.975000381469727
Area/2423 Light/12.135000228881836
Area/5218 Light/15.12125015258789
Area/7913 Light/6.559999942779541
Area/8084 Light/9.514999389648438
Area/460 Light/1.537500023841858
Area/5427 Light/16.58625030517578
Area/3491 Light/5.442500114440918
Area/7577 Light/12.568750381469727
Area/4249 Light/6.064999580383301
Area/2959 Light/22.55500030517578
Area/2811 Light/4.579999923706055
Area/3801 Light/11.617500305175781
Area/585 Light/6.382499694824219
Area/408 Light/0
Area/1358 Light/30.45749855041504
Area/8317 Light/4.442500114440918
Area/7852 Light/11.783750534057617
Area/3400 Light/6.50499963760376
Area/2280 Light/6.746250152587891
Area/2239 Light/0
Area/940 Light/25.424999237060547
Area/4444 Light/35.46125030517578
Area/643 Light/3.1162500381469727
Area/6434 Light/22.229999542236328
Area/1665 Light/3.2200000286102295
Area/1691 Light/14.960000991821289
Area/738 Light/8.182499885559082
Area/2130 Light/7.835000038146973
Area/7318 Light/4.710000038146973
Area/4993 Light/33.18375015258789
Area/6743 Light/10.77500057220459
Area/1409 Light/6.710000038146973
Area/5512 Light/22.344999313354492
Area/1141 Light/8.133749961853027
Area/1518 Light/12.519999504089355
Area/8219 Light/8.447500228881836
Area/2682 Light/39.99250030517578
Area/7627 Light/2.0900001525878906
Area/5758 Light/31.439998626708984
Area/2612 Light/26.696250915527344
Area/7141 Light/9.147499084472656
Area/417 Light/0
Area/8085 Light/9.055000305175781
Area/7483 Light/9.925000190734863
Area/6177 Light/38.2912483215332
Area/5502 Light/11.57249927520752
Area/6676 Light/20.87125015258789
Area/1135 Light/5.179999828338623
Area/2489 Light/5.223750114440918
Area/5885 Light/22.231250762939453
Area/7063 Light/3.6449999809265137
Area/168 Light/2.362499952316284
Area/5520 Light/10.041250228881836
Area/4266 Light/33.25749969482422
Area/3929 Light/14.64625072479248
Area/4330 Light/23.998750686645508
Area/445 Light/5.061249732971191
Area/2011 Light/4.929999828338623
Area/7709 Light/5.90625
Area/1303 Light/23.325000762939453
Area/1410 Light/5.740000247955322
Area/6031 Light/36.678749084472656
Area/1521 Light/5.704999923706055
Area/6720 Light/10.6537504196167
Area/2449 Light/0
Area/5138 Light/39.818748474121094
Area/5089 Light/6.353750228881836
Area/4833 Light/16.439998626708984
Area/3256 Light/4.908750057220459
Area/4448 Light/16.509998321533203
Area/8075 Light/15.920000076293945
Area/2686 Light/22.375
Area/1298 Light/16.626251220703125
Area/4132 Light/6.172499656677246
Area/5226 Light/18.953750610351562
Area/3756 Light/34.22999954223633
Area/3401 Light/5.465000152587891
Area/5782 Light/15.049999237060547
Area/554 Light/0
Area/81 Light/1.7999999523162842
Area/5608 Light/35.58625030517578
Area/5392 Light/25.9375
Area/3410 Light/31.126251220703125
Area/5948 Light/19.511249542236328
Area/3090 Light/9.09749984741211
Area/7022 Light/32.18000030517578
Area/2845 Light/6.438750267028809
Area/1777 Light/10.626249313354492
Area/4326 Light/5.435000419616699
Area/153 Light/2.15625
Area/225 Light/2.072499990463257
Area/5007 Light/21.34000015258789
Area/5784 Light/22.8125
Area/415 Light/0
Area/4178 Light/5.492499828338623
Area/8122 Light/12.899999618530273
Area/4901 Light/19.267499923706055
Area/5798 Light/14.809999465942383
Area/1854 Light/3.5425000190734863
Area/4342 Light/12.893749237060547
Area/7295 Light/15.982500076293945
Area/5777 Light/16.475000381469727
Area/802 Light/14.219999313354492
Area/5541 Light/20.422500610351562
Area/248 Light/1.8075000047683716
Area/7926 Light/11.469999313354492
Area/3380 Light/14.601249694824219
Area/7905 Light/3.934999942779541
Area/7500 Light/7.310000419616699
Area/7087 Light/18.02750015258789
Area/6498 Light/12.870000839233398
Area/7863 Light/25.85500144958496
Area/6124 Light/35.60124969482422
Area/6478 Light/29.567501068115234
Area/356 Light/3.247499942779541
Area/2656 Light/0
Area/1875 Light/3.1187500953674316
Area/4969 Light/22.161251068115234
Area/4053 Light/20.46000099182129
Area/3774 Light/16.260000228881836
Area/4278 Light/11.484999656677246
Area/2863 Light/0
Area/6315 Light/30.64499855041504
Area/1097 Light/10.0625
Area/5279 Light/17.482500076293945
Area/4049 Light/26.93000030517578
Area/8144 Light/23.19999885559082
Area/4369 Light/35.15250015258789
Area/4710 Light/19.7762508392334
Area/3383 Light/26.136249542236328
Area/7205 Light/2.6887500286102295
Area/737 Light/14.991250038146973
Area/2179 Light/21.15999984741211
Area/1364 Light/19.131248474121094
Area/7886 Light/2.40625
Area/1565 Light/24.106250762939453
Area/57 Light/0
Area/4661 Light/30.59000015258789
Area/4069 Light/9.521249771118164
Area/858 Light/3.932499885559082
Area/6654 Light/12.015000343322754
Area/2538 Light/23.107500076293945
Area/6066 Light/32.380001068115234
Area/8294 Light/7.742499828338623
Area/282 Light/4.447500228881836
Area/280 Light/14.678749084472656
Area/1047 Light/0
Area/8134 Light/18.452499389648438
Area/5263 Light/18.383750915527344
Area/5953 Light/23.672496795654297
Area/1088 Light/23.63249969482422
Area/3024 Light/12.516250610351562
Area/6746 Light/23.93000030517578
Area/98 Light/2.5999999046325684
Area/495 Light/6.272500038146973
Area/6615 Light/8.826250076293945
Area/816 Light/4.259999752044678
Area/6309 Light/14.457500457763672
Area/6844 Light/27.671249389648438
Area/2379 Light/0
Area/2310 Light/5.012499809265137
Area/2436 Light/9.132499694824219
Area/3835 Light/8.307499885559082
Area/3426 Light/9.125
Area/3079 Light/34.681251525878906
Area/7657 Light/11.741250991821289
Area/3413 Light/30.266250610351562
Area/5807 Light/13.954998016357422
Area/7108 Light/4.847499847412109
Area/3888 Light/14.8100004196167
Area/4279 Light/19.139999389648438
Area/8378 Light/10.595000267028809
Area/1280 Light/7.117500305175781
Area/7776 Light/5.893749713897705
Area/5325 Light/29.01500129699707
Area/6904 Light/6.247499465942383
Area/1300 Light/9.972500801086426
Area/3176 Light/15.458749771118164
Area/2460 Light/6.541250228881836
Area/5035 Light/11.114999771118164
Area/7260 Light/8.608750343322754
Area/6775 Light/29.717498779296875
Area/6653 Light/14.380001068115234
Area/5181 Light/28.923749923706055
Area/4462 Light/5.236249923706055
Area/2224 Light/6.822500228881836
Area/5182 Light/35.62874984741211
Area/3990 Light/5.712499618530273
Area/3566 Light/16.994998931884766
Area/7325 Light/8.782500267028809
Area/3305 Light/13.194999694824219
Area/2821 Light/17.181249618530273
Area/2462 Light/8.642499923706055
Area/5312 Light/13.895000457763672
Area/7981 Light/9.011250495910645
Area/3255 Light/8.90000057220459
Area/6364 Light/21.755001068115234
Area/470 Light/7.211250305175781
Area/5507 Light/31.346250534057617
Area/3776 Light/16.774999618530273
Area/5682 Light/31.36750030517578
Area/915 Light/6.730000019073486
Area/7463 Light/1.7599999904632568
Area/2520 Light/6.007499694824219
Area/320 Light/1.4562499523162842
Area/6729 Light/12.608749389648438
Area/502 Light/2.6675000190734863
Area/4607 Light/16.49625015258789
Area/4586 Light/37.383750915527344
Area/2464 Light/14.696249961853027
Area/5810 Light/24.49250030517578
Area/35 Light/1.3487499952316284
Area/4324 Light/4.662499904632568
Area/1770 Light/12.26249885559082
Area/781 Light/6.045000076293945
Area/5365 Light/22.236249923706055
Area/3977 Light/164.68499755859375
Area/4555 Light/13.539999961853027
Area/3451 Light/14.210000038146973
Area/4682 Light/6.880000114440918
Area/5077 Light/16.654998779296875
Area/7809 Light/2.5774998664855957
Area/8248 Light/4.497500419616699
Area/689 Light/0
Area/7431 Light/5.755000114440918
Area/7154 Light/15.236249923706055
Area/2311 Light/5.776249885559082
Area/7838 Light/2.8924999237060547
Area/6341 Light/29.424999237060547
Area/4125 Light/19.686250686645508
Area/5744 Light/22.52750015258789
Area/2880 Light/4.441249847412109
Area/2294 Light/7.641249656677246
Area/4570 Light/14.02500057220459
Area/4862 Light/32.61250305175781
Area/3244 Light/16.68375015258789
Area/5642 Light/13.610000610351562
Area/7761 Light/3.6762499809265137
Area/5886 Light/16.662500381469727
Area/6126 Light/35.119998931884766
Area/486 Light/0
Area/8188 Light/2.8212499618530273
Area/5567 Light/17.947498321533203
Area/270 Light/0
Area/3120 Light/5.011250019073486
Area/7317 Light/5.704999923706055
Area/4282 Light/17.469999313354492
Area/2430 Light/8.53749942779541
Area/6329 Light/23.456249237060547
Area/1755 Light/10.94124984741211
Area/3529 Light/16.758750915527344
Area/1339 Light/9.625
Area/6966 Light/5.111249923706055
Area/5382 Light/12.408750534057617
Area/2044 Light/21.883750915527344
Area/6044 Light/29.618749618530273
Area/7840 Light/13.712499618530273
Area/734 Light/6.451250076293945
Area/3231 Light/16.017499923706055
Area/7358 Light/4.260000228881836
Area/3012 Light/9.90999984741211
Area/7718 Light/9.600000381469727
Area/147 Light/4.220000267028809
Area/5481 Light/17.760000228881836
Area/7847 Light/6.241250038146973
Area/2158 Light/4.21875
Area/7252 Light/7.5625
Area/4785 Light/34.92375183105469
Area/1086 Light/28.482500076293945
Area/3366 Light/6.038749694824219
Area/7778 Light/6.376250267028809
Area/7719 Light/7.84499979019165
Area/4756 Light/14.803750991821289
Area/4394 Light/4.597499847412109
Area/7512 Light/9.779999732971191
Area/3045 Light/4.961250305175781
Area/2631 Light/12.727500915527344
Area/978 Light/0
Area/548 Light/0
Area/4950 Light/6.841250419616699
Area/4000 Light/12.243749618530273
Area/2603 Light/6.948750019073486
Area/2954 Light/9.319999694824219
Area/2876 Light/3.322500228881836
Area/797 Light/22.885000228881836
Area/5069 Light/40.49250030517578
Area/2748 Light/17.197500228881836
Area/2569 Light/7.845000267028809
Area/7459 Light/2.184999942779541
Area/7329 Light/3.304999828338623
Area/1585 Light/9.837499618530273
Area/250 Light/1.5625
Area/2849 Light/19.248750686645508
Area/1295 Light/16.707500457763672
Area/6675 Light/9.28499984741211
Area/6289 Light/23.584999084472656
Area/2830 Light/7.339999675750732
Area/4926 Light/30.39875030517578
Area/6854 Light/3.653749942779541
Area/1142 Light/8.877500534057617
Area/5345 Light/36.85749816894531
Area/497 Light/9.577499389648438
Area/1455 Light/12.52125072479248
Area/434 Light/2.481250047683716
Area/881 Light/14.892499923706055
Area/2333 Light/9.81624984741211
Area/5730 Light/21.720001220703125
Area/879 Light/19.692501068115234
Area/6530 Light/30.048748016357422
Area/8043 Light/13.877500534057617
Area/4042 Light/10.907500267028809
Area/3338 Light/10.547500610351562
Area/3883 Light/9.457500457763672
Area/537 Light/2.059999942779541
Area/2116 Light/17.193748474121094
Area/1258 Light/0
Area/6336 Light/25.65250015258789
Area/1050 Light/6.191249847412109
Area/264 Light/5.251250267028809
Area/6636 Light/23.360000610351562
Area/3500 Light/3.757500171661377
Area/1444 Light/19.731250762939453
Area/943 Light/44.31999969482422
Area/500 Light/4.732500076293945
Area/6659 Light/17.69499969482422
Area/3411 Light/30.697500228881836
Area/7270 Light/6.226249694824219
Area/649 Light/6.4375
Area/7868 Light/9.292499542236328
Area/4779 Light/16.625
Area/2619 Light/15.162500381469727
Area/5271 Light/13.002500534057617
Area/5944 Light/11.302499771118164
Area/4384 Light/8.803750038146973
Area/3613 Light/16.911251068115234
Area/3431 Light/5.559999942779541
Area/4332 Light/26.051250457763672
Area/8191 Light/7.1449995040893555
Area/1622 Light/17.662498474121094
Area/6270 Light/29.042499542236328
Area/4465 Light/8.768750190734863
Area/1588 Light/6.743749618530273
Area/3254 Light/20.75750160217285
Area/7602 Light/1.9574999809265137
Area/1029 Light/6.517500400543213
Area/3995 Light/13.167499542236328
Area/438 Light/3.786249876022339
Area/3442 Light/12.367500305175781
Area/7941 Light/14.540000915527344
Area/5044 Light/21.982500076293945
Area/5031 Light/22.02750015258789
Area/1820 Light/14.100000381469727
Area/4965 Light/11.548749923706055
Area/6130 Light/24.9375
Area/4678 Light/14.049999237060547
Area/3954 Light/7.653749465942383
Area/2190 Light/16.700000762939453
Area/850 Light/4.007500171661377
Area/7519 Light/15.804998397827148
Area/1487 Light/12.55875015258789
Area/853 Light/4.207499980926514
Area/6709 Light/15.172500610351562
Area/7411 Light/9.484999656677246
Area/5563 Light/28.758750915527344
Area/7849 Light/14.78125
Area/540 Light/2.211250066757202
Area/4908 Light/15.928750991821289
Area/2087 Light/7.596250057220459
Area/1983 Light/14.204999923706055
Area/2961 Light/20.75749969482422
Area/590 Light/12.457499504089355
Area/296 Light/2.0174999237060547
Area/3447 Light/10.953750610351562
Area/5364 Light/25.042499542236328
Area/3151 Light/6.844999313354492
Area/6538 Light/33.62249755859375
Area/1634 Light/17.292499542236328
Area/5432 Light/14.887500762939453
Area/4364 Light/8.081250190734863
Area/7842 Light/7.523750305175781
Area/2161 Light/4.940000057220459
Area/4959 Light/18.888751983642578
Area/6025 Light/24.477500915527344
Area/780 Light/4.322500228881836
Area/5307 Light/23.114999771118164
Area/1656 Light/6.448749542236328
Area/3141 Light/11.813749313354492
Area/1159 Light/16.708749771118164
Area/7912 Light/7.662500381469727
Area/4172 Light/12.207500457763672
Area/4267 Light/26.856250762939453
Area/6667 Light/48.118751525878906
Area/4978 Light/15.223749160766602
Area/6461 Light/17.97749900817871
Area/141 Light/12.417499542236328
Area/2315 Light/6.116250038146973
Area/2640 Light/8.320000648498535
Area/3444 Light/15.21500015258789
Area/811 Light/10.733750343322754
Area/3939 Light/15.03125
Area/5466 Light/34.05875015258789
Area/2643 Light/16.6875
Area/5630 Light/17.204999923706055
Area/2031 Light/8.1274995803833
Area/7168 Light/8.190000534057617
Area/5954 Light/27.453750610351562
Area/8155 Light/9.819999694824219
Area/4365 Light/6.237500190734863
Area/8430 Light/9.122499465942383
Area/4910 Light/10.233749389648438
Area/3970 Light/15.460000038146973
Area/7217 Light/6.237500190734863
Area/5231 Light/50.36750030517578
Area/4316 Light/6.732500076293945
Area/3409 Light/17.954999923706055
Area/8124 Light/9.950000762939453
Area/3436 Light/6.53624963760376
Area/2864 Light/0
Area/7118 Light/7.349999904632568
Area/7366 Light/17.924999237060547
Area/4584 Light/38.13249969482422
Area/4841 Light/9.7524995803833
Area/7802 Light/13.223749160766602
Area/6333 Light/20.34749984741211
Area/5689 Light/33.49749755859375
Area/8510 Light/3.132499933242798
Area/5337 Light/23.941251754760742
Area/7506 Light/19.506250381469727
Area/5286 Light/13.864999771118164
Area/5714 Light/9.061250686645508
Area/536 Light/1.4562500715255737
Area/7399 Light/6.366250514984131
Area/4657 Light/29.052499771118164
Area/2293 Light/3.966250419616699
Area/338 Light/0
Area/8346 Light/32.44999694824219
Area/7104 Light/3.2587499618530273
Area/3554 Light/13.690000534057617
Area/5504 Light/12.795000076293945
Area/6714 Light/11.179999351501465
Area/283 Light/3.744999885559082
Area/4821 Light/15.55000114440918
Area/4751 Light/12.047500610351562
Area/4622 Light/24.02250099182129
Area/3361 Light/5.299999713897705
Area/5883 Light/23.89750099182129
Area/5988 Light/27.207500457763672
Area/3128 Light/25.278751373291016
Area/82 Light/2.0399999618530273
Area/4879 Light/11.68375015258789
Area/8086 Light/6.135000228881836
Area/6048 Light/35.64624786376953
Area/105 Light/1.6299999952316284
Area/7165 Light/23.1875
Area/1681 Light/15.702500343322754
Area/7817 Light/2.4175000190734863
Area/4046 Light/51.77000427246094
Area/3983 Light/14.145000457763672
Area/4225 Light/8.53499984741211
Area/4269 Light/11.848750114440918
Area/5912 Light/52.26499938964844
Area/4174 Light/10.682499885559082
Area/5828 Light/37.560001373291016
Area/2709 Light/7.497499942779541
Area/5542 Light/24.174999237060547
Area/6758 Light/13.75
Area/3973 Light/59.472503662109375
Area/4354 Light/19.521251678466797
Area/4552 Light/15.048749923706055
Area/8194 Light/14.65250015258789
Area/5855 Light/44.04375076293945
Area/3867 Light/14.716249465942383
Area/1456 Light/34.162498474121094
Area/8021 Light/3.158750057220459
Area/1825 Light/8.728750228881836
Area/4481 Light/13.448750495910645
Area/4700 Light/15.505000114440918
Area/4877 Light/21.412498474121094
Area/3629 Light/4.420000076293945
Area/5672 Light/20.892501831054688
Area/1907 Light/15.202500343322754
Area/4711 Light/20.255001068115234
Area/1201 Light/3.851250171661377
Area/369 Light/3.0924999713897705
Area/5899 Light/33.10750198364258
Area/5662 Light/13.373748779296875
Area/751 Light/13.228750228881836
Area/3685 Light/10.477499008178711
Area/1580 Light/4.797500133514404
Area/1629 Light/14.892499923706055
Area/8244 Light/2.028749942779541
Area/4927 Light/24.19124984741211
Area/4952 Light/27.134998321533203
Area/1491 Light/6.005000114440918
Area/5870 Light/20.306251525878906
Area/50 Light/8.260000228881836
Area/6469 Light/22.649999618530273
Area/860 Light/8.71500015258789
Area/4665 Light/35.963748931884766
Area/1712 Light/7.664999961853027
Area/8468 Light/0.9362500309944153
Area/8533 Light/1.8237500190734863
Area/8199 Light/23.502500534057617
Area/5750 Light/16.436248779296875
Area/3096 Light/14.122499465942383
Area/3974 Light/16.036251068115234
Area/6011 Light/12.413749694824219
Area/5125 Light/24.13249969482422
Area/294 Light/2.4549999237060547
Area/5864 Light/15.832500457763672
Area/4626 Light/16.77750015258789
Area/6256 Light/34.282501220703125
Area/1670 Light/0
Area/1774 Light/16.532499313354492
Area/822 Light/15.431249618530273
Area/3510 Light/8.25
Area/2176 Light/6.942500114440918
Area/36 Light/1.4262499809265137
Area/1200 Light/3.8575000762939453
Area/97 Light/4.532500267028809
Area/4559 Light/11.101250648498535
Area/4486 Light/8.764999389648438
Area/827 Light/2.559999942779541
Area/7584 Light/13.28499984741211
Area/7647 Light/14.77750015258789
Area/5873 Light/15.52750015258789
Area/7413 Light/6.722499847412109
Area/3544 Light/9.757499694824219
Area/5913 Light/28.3174991607666
Area/931 Light/5.390000343322754
Area/4327 Light/7.097499847412109
Area/5357 Light/22.431249618530273
Area/5537 Light/32.80249786376953
Area/3752 Light/15.932498931884766
Area/1202 Light/4.364999771118164
Area/7441 Light/11.392499923706055
Area/4788 Light/20.05500030517578
Area/1836 Light/18.177499771118164
Area/6357 Light/11.027499198913574
Area/591 Light/6.572500228881836
Area/1321 Light/10.059999465942383
Area/2703 Light/5.868749618530273
Area/1900 Light/28.721250534057617
Area/3281 Light/5.477499961853027
Area/6293 Light/24.954999923706055
Area/7608 Light/2.3687500953674316
Area/4635 Light/19.366249084472656
Area/5607 Light/31.22875213623047
Area/1882 Light/3.458749771118164
Area/6195 Light/28.965002059936523
Area/275 Light/2.757499933242798
Area/5471 Light/21.665000915527344
Area/634 Light/5.167500019073486
Area/2890 Light/35.22624969482422
Area/5711 Light/8.912500381469727
Area/343 Light/0
Area/7990 Light/5.684999942779541
