Area/1109 Light/18.91499900817871
Area/2376 Light/5.600000381469727
Area/3123 Light/30.369998931884766
Area/3346 Light/43.782501220703125
Area/772 Light/17.317501068115234
Area/2528 Light/11.864999771118164
Area/1534 Light/48.564998626708984
Area/1518 Light/18.924999237060547
Area/3442 Light/10.40999984741211
Area/1594 Light/53.915000915527344
Area/1951 Light/36.94750213623047
Area/964 Light/20.540000915527344
Area/3185 Light/0.6599999666213989
Area/645 Light/9.782500267028809
Area/1837 Light/36.0
Area/1135 Light/53.252498626708984
Area/1840 Light/40.88750076293945
Area/1358 Light/15.0625
Area/3772 Light/16.21500015258789
Area/1310 Light/35.775001525878906
Area/3929 Light/4.387499809265137
Area/3905 Light/12.274999618530273
Area/3485 Light/36.64500045776367
Area/4213 Light/17.107500076293945
Area/4265 Light/22.792499542236328
Area/1768 Light/51.647499084472656
Area/2714 Light/10.010000228881836
Area/2214 Light/35.845001220703125
Area/518 Light/28.082500457763672
Area/4022 Light/8.430000305175781
Area/3941 Light/13.522500038146973
Area/2066 Light/24.565000534057617
Area/3944 Light/11.042499542236328
Area/1297 Light/37.522499084472656
Area/1260 Light/44.165000915527344
Area/593 Light/20.532499313354492
Area/1528 Light/37.747501373291016
Area/1872 Light/32.11000061035156
Area/3854 Light/15.107500076293945
Area/3052 Light/18.16499900817871
Area/3298 Light/9.755000114440918
Area/2144 Light/56.32999801635742
Area/3246 Light/13.462499618530273
Area/2001 Light/7.605000019073486
Area/2581 Light/42.86750030517578
Area/3495 Light/23.61750030517578
Area/3044 Light/13.757499694824219
Area/2818 Light/8.017499923706055
Area/1870 Light/46.7599983215332
Area/1005 Light/1.6150000095367432
Area/1021 Light/22.43000030517578
Area/989 Light/9.1875
Area/1361 Light/5.147500038146973
Area/1438 Light/30.042499542236328
Area/2555 Light/7.787499904632568
Area/2757 Light/20.35999870300293
Area/51 Light/10.212499618530273
Area/2132 Light/31.700000762939453
Area/2212 Light/35.90999984741211
Area/264 Light/3.634999990463257
Area/535 Light/4.430000305175781
Area/1772 Light/23.6875
Area/2799 Light/6.722499847412109
Area/1843 Light/30.55000114440918
Area/275 Light/1.9800000190734863
Area/3798 Light/114.43250274658203
Area/1432 Light/18.729999542236328
Area/2540 Light/4.635000228881836
Area/3649 Light/10.325000762939453
Area/2237 Light/35.029998779296875
Area/122 Light/13.1875
Area/3571 Light/25.982500076293945
Area/1636 Light/4.975000381469727
Area/566 Light/22.047500610351562
Area/3965 Light/43.212501525878906
Area/3438 Light/16.872501373291016
Area/5 Light/3.2049999237060547
Area/2950 Light/52.44249725341797
Area/3186 Light/0.6675000190734863
Area/555 Light/13.264999389648438
Area/497 Light/7.422499656677246
Area/1831 Light/15.629999160766602
Area/3455 Light/4.614999771118164
Area/89 Light/2.9000000953674316
Area/2842 Light/2.5250000953674316
Area/2821 Light/0.8725000023841858
Area/559 Light/17.5625
Area/3459 Light/0.6649999618530273
Area/1318 Light/31.462499618530273
Area/1053 Light/34.22999954223633
Area/454 Light/4.612499713897705
Area/1652 Light/24.17500114440918
Area/256 Light/4.112500190734863
Area/3239 Light/10.467500686645508
Area/2480 Light/18.260000228881836
Area/1454 Light/6.929999828338623
Area/2475 Light/3.049999952316284
Area/1550 Light/1.9700000286102295
Area/1948 Light/36.42749786376953
Area/178 Light/3.8675003051757812
Area/1280 Light/2.872499942779541
Area/1808 Light/33.08250045776367
Area/2887 Light/10.225000381469727
Area/927 Light/16.607500076293945
Area/2153 Light/25.295000076293945
Area/151 Light/32.27750015258789
Area/3358 Light/3.547499895095825
Area/2157 Light/11.649999618530273
Area/4158 Light/28.28499984741211
Area/2972 Light/18.349998474121094
Area/3205 Light/12.175000190734863
Area/3767 Light/15.59000015258789
Area/1733 Light/3.5974998474121094
Area/3012 Light/1.3250000476837158
Area/4024 Light/24.782501220703125
Area/259 Light/3.9600000381469727
Area/3542 Light/4.279999732971191
Area/436 Light/4.465000152587891
Area/3552 Light/0.7599999904632568
Area/554 Light/13.0
Area/1749 Light/36.30500030517578
Area/1672 Light/46.375
Area/1351 Light/29.310001373291016
Area/241 Light/31.292499542236328
Area/2751 Light/2.8874998092651367
Area/3477 Light/13.984999656677246
Area/3367 Light/0.7849999666213989
Area/2063 Light/25.725000381469727
Area/1407 Light/34.12750244140625
Area/2777 Light/20.952499389648438
Area/1774 Light/77.08499908447266
Area/3643 Light/0.7799999713897705
Area/853 Light/32.39500045776367
Area/841 Light/5.892499923706055
Area/1192 Light/4.09250020980835
Area/3551 Light/0.7749999761581421
Area/390 Light/5.15749979019165
Area/3999 Light/4.664999961853027
Area/3372 Light/0.9775000214576721
Area/239 Light/27.69499969482422
Area/2944 Light/29.290000915527344
Area/3306 Light/24.232500076293945
Area/1913 Light/7.0625
Area/2713 Light/18.94499969482422
Area/31 Light/10.565000534057617
Area/2774 Light/48.38500213623047
Area/1281 Light/4.835000038146973
Area/2702 Light/14.859999656677246
Area/2125 Light/35.26499938964844
Area/3550 Light/0.6299999952316284
Area/1953 Light/24.329999923706055
Area/3105 Light/2.1374998092651367
Area/1803 Light/44.91749954223633
Area/4211 Light/6.9574995040893555
Area/3038 Light/30.689998626708984
Area/2465 Light/2.6575000286102295
Area/3037 Light/26.89499855041504
Area/294 Light/14.845000267028809
Area/3161 Light/19.837501525878906
Area/3538 Light/6.802500247955322
Area/3311 Light/32.81500244140625
Area/427 Light/28.717498779296875
Area/3361 Light/3.0924999713897705
Area/1537 Light/34.96500015258789
Area/2523 Light/21.477500915527344
Area/1287 Light/9.617500305175781
Area/3132 Light/45.32499694824219
Area/3726 Light/6.474999904632568
Area/317 Light/7.019999980926514
Area/4177 Light/13.307499885559082
Area/2276 Light/1.3625000715255737
Area/1434 Light/13.90250015258789
Area/1804 Light/29.684999465942383
Area/2602 Light/50.84000015258789
Area/3735 Light/0.8475000262260437
Area/3994 Light/7.317500114440918
Area/3269 Light/3.0500001907348633
Area/2863 Light/20.767499923706055
Area/1757 Light/37.727500915527344
Area/398 Light/35.400001525878906
Area/472 Light/18.827499389648438
Area/2457 Light/6.534999847412109
Area/1623 Light/43.029998779296875
Area/1057 Light/18.25
Area/2110 Light/15.632500648498535
Area/4190 Light/0.8424999713897705
Area/1222 Light/50.24500274658203
Area/1497 Light/34.224998474121094
Area/4014 Light/7.835000038146973
Area/3069 Light/16.342500686645508
Area/2562 Light/1.8450000286102295
Area/1802 Light/34.97500228881836
Area/1538 Light/24.692501068115234
Area/1080 Light/16.880001068115234
Area/1193 Light/4.264999866485596
Area/782 Light/12.609999656677246
Area/3009 Light/1.0774999856948853
Area/4097 Light/0.7975000143051147
Area/570 Light/3.987499952316284
Area/344 Light/3.892500162124634
Area/976 Light/13.257499694824219
Area/1741 Light/15.5625
Area/678 Light/10.165000915527344
Area/387 Light/5.549999713897705
Area/4013 Light/3.7400002479553223
Area/3866 Light/14.380000114440918
Area/2826 Light/1.1624999046325684
Area/3927 Light/4.635000228881836
Area/2302 Light/9.864999771118164
Area/126 Light/33.317501068115234
Area/1122 Light/30.732498168945312
Area/1266 Light/13.735000610351562
Area/583 Light/46.28249740600586
Area/4020 Light/7.047499656677246
Area/247 Light/18.61750030517578
Area/3803 Light/29.3799991607666
Area/1043 Light/39.73250198364258
Area/3352 Light/8.530000686645508
Area/2141 Light/43.505001068115234
Area/486 Light/16.50749969482422
Area/3871 Light/13.149999618530273
Area/3469 Light/25.122499465942383
Area/1052 Light/22.564998626708984
Area/2072 Light/16.084999084472656
Area/2290 Light/4.914999961853027
Area/3362 Light/3.6624999046325684
Area/3039 Light/31.932498931884766
Area/4252 Light/10.512500762939453
Area/4084 Light/11.6899995803833
Area/2856 Light/30.75749969482422
Area/3797 Light/66.7874984741211
Area/1533 Light/52.152496337890625
Area/3322 Light/24.24250030517578
Area/2593 Light/39.375
Area/1807 Light/36.18499755859375
Area/3967 Light/14.450000762939453
Area/620 Light/7.397500038146973
Area/2423 Light/19.167499542236328
Area/1331 Light/17.059999465942383
Area/1209 Light/35.93000030517578
Area/2513 Light/43.30999755859375
Area/2854 Light/36.212501525878906
Area/3386 Light/12.774999618530273
Area/2578 Light/21.165000915527344
Area/756 Light/18.752498626708984
Area/1261 Light/35.349998474121094
Area/2706 Light/13.905000686645508
Area/146 Light/23.042499542236328
Area/2223 Light/24.987499237060547
Area/3227 Light/6.644999980926514
Area/2827 Light/1.3924999237060547
Area/3444 Light/5.987500190734863
Area/451 Light/2.112499952316284
Area/938 Light/24.592500686645508
Area/417 Light/34.10499954223633
Area/2422 Light/28.657499313354492
Area/1535 Light/50.87999725341797
Area/1191 Light/3.6575000286102295
Area/3055 Light/21.994998931884766
Area/2018 Light/27.727500915527344
Area/3885 Light/17.315000534057617
Area/3867 Light/20.639999389648438
Area/4238 Light/9.53499984741211
Area/368 Light/2.4175000190734863
Area/548 Light/2.370000123977661
Area/666 Light/15.574999809265137
Area/3388 Light/19.69499969482422
Area/2569 Light/17.834999084472656
Area/3963 Light/34.51000213623047
Area/816 Light/4.882500171661377
Area/1902 Light/15.694999694824219
Area/727 Light/7.842499732971191
Area/3627 Light/13.514999389648438
Area/85 Light/2.0425000190734863
Area/382 Light/15.395000457763672
Area/3524 Light/129.04751586914062
Area/4067 Light/29.385000228881836
Area/2705 Light/18.767498016357422
Area/712 Light/7.729999542236328
Area/1437 Light/29.55499839782715
Area/2639 Light/1.127500057220459
Area/858 Light/41.029998779296875
Area/1929 Light/34.150001525878906
Area/2444 Light/9.305000305175781
Area/3957 Light/12.40999984741211
Area/1463 Light/30.96999740600586
Area/2456 Light/19.232500076293945
Area/316 Light/5.357500076293945
Area/829 Light/12.467500686645508
Area/2140 Light/37.727500915527344
Area/2329 Light/31.312501907348633
Area/3650 Light/7.397500038146973
Area/2104 Light/27.387500762939453
Area/3333 Light/10.949999809265137
Area/432 Light/26.524999618530273
Area/3926 Light/13.389999389648438
Area/4095 Light/0.9275000095367432
Area/3194 Light/5.439999580383301
Area/3920 Light/1.9200000762939453
Area/594 Light/18.190000534057617
Area/2901 Light/4.362500190734863
Area/3284 Light/4.385000228881836
Area/789 Light/28.09749984741211
Area/1994 Light/23.482500076293945
Area/2817 Light/11.210000038146973
Area/2930 Light/2.502500057220459
Area/3671 Light/25.135000228881836
Area/1494 Light/38.21500015258789
Area/1229 Light/30.55500030517578
Area/1794 Light/27.040000915527344
Area/2848 Light/12.969999313354492
Area/735 Light/4.184999465942383
Area/56 Light/24.1924991607666
Area/224 Light/6.670000076293945
Area/2103 Light/21.947498321533203
Area/164 Light/4.057499885559082
Area/2127 Light/29.932498931884766
Area/311 Light/14.969999313354492
Area/2968 Light/22.162498474121094
Area/3236 Light/9.197500228881836
Area/452 Light/2.5924999713897705
Area/2892 Light/7.565000057220459
Area/974 Light/8.037500381469727
Area/561 Light/21.252498626708984
Area/3502 Light/15.444999694824219
Area/102 Light/3.815000057220459
Area/305 Light/26.204999923706055
Area/1677 Light/47.49500274658203
Area/1797 Light/24.967500686645508
Area/13 Light/18.74250030517578
Area/108 Light/57.38750076293945
Area/52 Light/10.945000648498535
Area/3054 Light/21.48000144958496
Area/445 Light/4.907500267028809
Area/1451 Light/7.532500267028809
Area/3947 Light/8.850000381469727
Area/1520 Light/13.71500015258789
Area/2875 Light/13.350000381469727
Area/2414 Light/52.26499938964844
Area/513 Light/28.602500915527344
Area/2987 Light/6.09250020980835
Area/1752 Light/28.19499969482422
Area/475 Light/9.524999618530273
Area/1512 Light/29.857500076293945
Area/1183 Light/5.777500152587891
Area/1099 Light/2.320000171661377
Area/131 Light/13.862500190734863
Area/2756 Light/24.169998168945312
Area/3651 Light/6.484999656677246
Area/3865 Light/13.40250015258789
Area/2966 Light/20.677499771118164
Area/157 Light/18.077499389648438
Area/3630 Light/8.552499771118164
Area/1825 Light/5.182499885559082
Area/1879 Light/32.12750244140625
Area/2105 Light/24.010000228881836
Area/1267 Light/12.030000686645508
Area/1739 Light/41.22249984741211
Area/2399 Light/48.88249969482422
Area/577 Light/21.185001373291016
Area/3637 Light/3.0475001335144043
Area/537 Light/4.242499828338623
Area/2727 Light/9.552499771118164
Area/1847 Light/31.6875
Area/265 Light/4.045000076293945
Area/2343 Light/10.920000076293945
Area/1420 Light/37.125
Area/3582 Light/30.2549991607666
Area/3133 Light/35.91749954223633
Area/4254 Light/18.775001525878906
Area/3816 Light/8.229999542236328
Area/3678 Light/39.94000244140625
Area/1558 Light/28.744998931884766
Area/1735 Light/5.682499885559082
Area/3886 Light/13.489999771118164
Area/912 Light/1.2325000762939453
Area/931 Light/14.137500762939453
Area/2145 Light/35.17000198364258
Area/3131 Light/61.30999755859375
Area/1861 Light/35.04750061035156
Area/775 Light/24.957500457763672
Area/1570 Light/44.4375
Area/1250 Light/15.994999885559082
Area/3141 Light/33.33250045776367
Area/2843 Light/2.634999990463257
Area/3851 Light/12.797500610351562
Area/804 Light/5.002500057220459
Area/3466 Light/5.680000305175781
Area/2466 Light/2.575000047683716
Area/460 Light/2.5349998474121094
Area/1580 Light/62.457496643066406
Area/154 Light/23.220001220703125
Area/379 Light/23.274999618530273
Area/2305 Light/37.462501525878906
Area/718 Light/2.8424999713897705
Area/2943 Light/36.2650032043457
Area/4253 Light/16.077499389648438
Area/793 Light/15.612500190734863
Area/3794 Light/20.125
Area/511 Light/33.752498626708984
Area/736 Light/8.344999313354492
Area/2167 Light/35.165000915527344
Area/1856 Light/35.21500015258789
Area/4 Light/3.6449999809265137
Area/2216 Light/36.86250305175781
Area/3912 Light/3.5199999809265137
Area/2447 Light/6.197500228881836
Area/1522 Light/28.899999618530273
Area/2568 Light/17.170000076293945
Area/351 Light/2.9750001430511475
