Area/1109 GDP/34959.9921875
Area/78 GDP/8493.1884765625
Area/266 GDP/1183.853271484375
Area/3696 GDP/9529.9599609375
Area/1480 GDP/36111.55078125
Area/3732 GDP/4.1700005531311035
Area/455 GDP/1688.8521728515625
Area/1448 GDP/1948.2003173828125
Area/3268 GDP/446.0792541503906
Area/2304 GDP/10000.0
Area/1372 GDP/480.37457275390625
Area/322 GDP/7043.8818359375
Area/3831 GDP/34877.5703125
Area/8 GDP/2503.697998046875
Area/2539 GDP/462.2796325683594
Area/2402 GDP/10000.0
Area/1581 GDP/10000.0
Area/380 GDP/6633.908203125
Area/4140 GDP/14177.5380859375
Area/1976 GDP/10000.0
Area/301 GDP/7514.95849609375
Area/1564 GDP/10000.0
Area/431 GDP/2985.14453125
Area/549 GDP/5353.8896484375
Area/1405 GDP/10000.0
Area/155 GDP/10007.8212890625
Area/2171 GDP/10019.701171875
Area/1523 GDP/10049.6650390625
Area/2726 GDP/333.1919250488281
Area/1595 GDP/10000.0
Area/1467 GDP/15780.404296875
Area/3432 GDP/10000.0
Area/3771 GDP/13985.67578125
Area/1923 GDP/25256.07421875
Area/1225 GDP/10000.0
Area/16 GDP/14923.6103515625
Area/3001 GDP/3232.67919921875
Area/2236 GDP/10000.0
Area/336 GDP/4821.8056640625
Area/318 GDP/7432.634765625
Area/4010 GDP/2163.97021484375
Area/2917 GDP/5594.80078125
Area/505 GDP/7850.25
Area/2090 GDP/3425.16748046875
Area/3868 GDP/7660.2158203125
Area/579 GDP/36111.55078125
Area/2124 GDP/10000.0
Area/673 GDP/36111.55078125
Area/3140 GDP/10000.0
Area/2504 GDP/10000.0
Area/2375 GDP/14384.525390625
Area/3807 GDP/7291.54296875
Area/4110 GDP/5620.72021484375
Area/662 GDP/188.79942321777344
Area/391 GDP/9652.640625
Area/3897 GDP/15462.853515625
Area/2711 GDP/17036.88671875
Area/383 GDP/6322.37109375
Area/1975 GDP/10000.0
Area/3408 GDP/12622.9892578125
Area/847 GDP/36111.55078125
Area/2477 GDP/10000.4462890625
Area/2737 GDP/17783.875
Area/932 GDP/27449.2890625
Area/2020 GDP/10000.0
Area/1499 GDP/10000.0
Area/2179 GDP/4128.84033203125
Area/4128 GDP/3971.156005859375
Area/2283 GDP/17715.609375
Area/1001 GDP/1799.733154296875
Area/786 GDP/9648.0673828125
Area/3108 GDP/5723.697265625
Area/2928 GDP/4.1700005531311035
Area/1458 GDP/6681.11083984375
Area/2687 GDP/10000.0
Area/4199 GDP/9883.4609375
Area/3090 GDP/1210.475341796875
Area/2255 GDP/17109.76171875
Area/3757 GDP/10120.7099609375
Area/664 GDP/36111.55078125
Area/3958 GDP/2010.9398193359375
Area/129 GDP/9478.845703125
Area/2870 GDP/10000.0
Area/1901 GDP/5266.11328125
Area/3512 GDP/10000.228515625
Area/1700 GDP/10000.0
Area/253 GDP/2818.65966796875
Area/286 GDP/23308.12890625
Area/347 GDP/3763.423583984375
Area/936 GDP/36111.55078125
Area/1431 GDP/10010.5
Area/1559 GDP/20590.248046875
Area/4268 GDP/7750.599609375
Area/397 GDP/9652.640625
Area/1782 GDP/10000.0
Area/3189 GDP/4.1700005531311035
Area/2894 GDP/5450.82568359375
Area/1423 GDP/10002.34765625
Area/2797 GDP/3267.65283203125
Area/2428 GDP/10074.701171875
Area/159 GDP/3646.1484375
Area/668 GDP/36111.55078125
Area/4099 GDP/3.1487350463867188
Area/1600 GDP/10000.0
Area/3856 GDP/9663.4541015625
Area/1551 GDP/100.25836944580078
Area/2187 GDP/0.5915083289146423
Area/1552 GDP/3837.32958984375
Area/227 GDP/4813.81298828125
Area/770 GDP/36111.55078125
Area/3978 GDP/15172.1357421875
Area/2050 GDP/10000.0
Area/39 GDP/2414.523193359375
Area/2213 GDP/10000.0
Area/531 GDP/6126.53076171875
Area/2609 GDP/25616.880859375
Area/2483 GDP/10000.0
Area/3099 GDP/4.1700005531311035
Area/1666 GDP/10000.0
Area/3827 GDP/141.71107482910156
Area/3126 GDP/10000.0
Area/1769 GDP/10000.0
Area/1394 GDP/36111.55078125
Area/95 GDP/8631.3154296875
Area/491 GDP/9652.640625
Area/3209 GDP/10054.53125
Area/249 GDP/1989.7613525390625
Area/20 GDP/14021.7080078125
Area/3330 GDP/4469.69873046875
Area/2661 GDP/10000.0
Area/1090 GDP/2805.83984375
Area/924 GDP/10282.4365234375
Area/3832 GDP/25210.66015625
Area/1055 GDP/10000.0
Area/1565 GDP/10000.0
Area/1799 GDP/10102.65625
Area/208 GDP/2391.480712890625
Area/830 GDP/7940.63330078125
Area/1296 GDP/36111.55078125
Area/2411 GDP/10000.0
Area/1312 GDP/10000.0
Area/3775 GDP/8891.4677734375
Area/1882 GDP/10000.0
Area/1239 GDP/10000.0
Area/4172 GDP/14431.9443359375
Area/3243 GDP/46600.19140625
Area/2696 GDP/40341.875
Area/252 GDP/963.3634033203125
Area/2366 GDP/2740.40087890625
Area/3503 GDP/15241.0986328125
Area/4111 GDP/13027.166015625
Area/2038 GDP/10000.0
Area/437 GDP/2311.972412109375
Area/3608 GDP/15465.435546875
Area/3489 GDP/3387.849365234375
Area/3180 GDP/5134.53173828125
Area/1243 GDP/10000.0
Area/3998 GDP/7973.14453125
Area/2158 GDP/24797.525390625
Area/4275 GDP/2164.716796875
Area/711 GDP/3514.33544921875
Area/3111 GDP/19931.826171875
Area/1218 GDP/36111.55078125
Area/2999 GDP/215.32568359375
Area/402 GDP/9652.640625
Area/2531 GDP/1565.1593017578125
Area/894 GDP/6961.83056640625
Area/1578 GDP/10000.0
Area/2491 GDP/10000.0
Area/3594 GDP/13970.568359375
Area/4194 GDP/6791.6552734375
Area/1999 GDP/2986.113525390625
Area/284 GDP/30773.50390625
Area/953 GDP/36111.55078125
Area/982 GDP/7149.8583984375
Area/245 GDP/7627.62109375
Area/833 GDP/22133.8203125
Area/2292 GDP/2773.463623046875
Area/3127 GDP/10000.0
Area/4086 GDP/2795.289794921875
Area/2147 GDP/10000.0
Area/4121 GDP/14677.591796875
Area/704 GDP/1204.69775390625
Area/929 GDP/36111.55078125
Area/843 GDP/18675.09375
Area/346 GDP/1527.1304931640625
Area/9 GDP/14740.5751953125
Area/1944 GDP/10000.0
Area/3279 GDP/4.1700005531311035
Area/2228 GDP/10000.0
Area/1660 GDP/10000.0
Area/783 GDP/9652.640625
Area/1790 GDP/10000.0
Area/3168 GDP/605.9247436523438
Area/2008 GDP/15421.283203125
Area/2368 GDP/2862.879638671875
Area/215 GDP/9652.640625
Area/362 GDP/6997.8779296875
Area/1531 GDP/10154.4228515625
Area/3584 GDP/15241.0986328125
Area/4069 GDP/15323.5537109375
Area/4127 GDP/1732.1697998046875
Area/2956 GDP/10000.0
Area/1785 GDP/10000.0
Area/3560 GDP/20624.998046875
Area/3830 GDP/34877.5703125
Area/2742 GDP/0.5915083289146423
Area/3153 GDP/47434.29296875
Area/1079 GDP/7936.89501953125
Area/1119 GDP/36111.55078125
Area/2653 GDP/4.1700005531311035
Area/1724 GDP/1240.7451171875
Area/2180 GDP/7370.16845703125
Area/4262 GDP/4479.93408203125
Area/4137 GDP/2351.138427734375
Area/2546 GDP/7521.345703125
Area/1112 GDP/36111.55078125
Area/2258 GDP/2354.18603515625
Area/4234 GDP/7722.15625
Area/179 GDP/560.1917114257812
Area/3210 GDP/10000.6376953125
Area/760 GDP/36111.55078125
Area/2886 GDP/10088.9599609375
Area/2473 GDP/0.0
Area/144 GDP/3054.620849609375
Area/1174 GDP/8780.076171875
Area/1568 GDP/10000.0
Area/2918 GDP/5594.80078125
Area/3344 GDP/20362.48046875
Area/848 GDP/36111.55078125
Area/3319 GDP/13394.9765625
Area/2753 GDP/10002.4111328125
Area/3691 GDP/8989.4306640625
Area/182 GDP/6708.23681640625
Area/739 GDP/14118.4443359375
Area/1241 GDP/10000.0
Area/4231 GDP/7377.70849609375
Area/2822 GDP/1.2343037128448486
Area/404 GDP/36111.55078125
Area/3894 GDP/20307.162109375
Area/2338 GDP/10111.478515625
Area/1341 GDP/16994.13671875
Area/2922 GDP/552.4667358398438
Area/1301 GDP/36111.55078125
Area/617 GDP/2920.672607421875
Area/3554 GDP/4.1700005531311035
Area/818 GDP/2643.37158203125
Area/1435 GDP/7473.576171875
Area/4220 GDP/1600.802978515625
Area/2809 GDP/4976.8798828125
Area/3343 GDP/10000.0
Area/3893 GDP/8982.7041015625
Area/4217 GDP/2578.89208984375
Area/2660 GDP/10000.4482421875
Area/3482 GDP/10108.3330078125
Area/3578 GDP/10133.5556640625
Area/1583 GDP/10000.0
Area/1391 GDP/36111.55078125
Area/2115 GDP/10000.0
Area/1548 GDP/237.5606231689453
Area/3806 GDP/18380.89453125
Area/750 GDP/14923.6103515625
Area/764 GDP/36111.55078125
Area/2676 GDP/10000.0
Area/651 GDP/36111.55078125
Area/4169 GDP/20362.48046875
Area/118 GDP/8748.2724609375
Area/3383 GDP/13835.7919921875
Area/1094 GDP/459.4527587890625
Area/700 GDP/7243.8720703125
Area/3755 GDP/10054.9150390625
Area/1138 GDP/36111.55078125
Area/2616 GDP/21004.568359375
Area/839 GDP/36111.55078125
Area/1931 GDP/10000.0
Area/3295 GDP/10096.140625
Area/788 GDP/4274.1328125
Area/479 GDP/8019.6484375
Area/680 GDP/36111.55078125
Area/981 GDP/7922.32177734375
Area/3226 GDP/4204.69482421875
Area/745 GDP/28746.625
Area/725 GDP/3100.00634765625
Area/2501 GDP/10000.0
Area/1584 GDP/10000.0
Area/2681 GDP/10000.0
Area/1100 GDP/20466.708984375
Area/987 GDP/8456.44140625
Area/3531 GDP/9075.5595703125
Area/2860 GDP/10000.0
Area/2464 GDP/5008.283203125
Area/329 GDP/9652.640625
Area/1547 GDP/237.5606231689453
Area/3481 GDP/10127.12109375
Area/1930 GDP/10000.0
Area/2385 GDP/23934.287109375
Area/312 GDP/9652.640625
Area/1093 GDP/3681.267578125
Area/1950 GDP/10000.0
Area/3329 GDP/3135.3193359375
Area/738 GDP/14118.4443359375
Area/449 GDP/479.4200744628906
Area/2770 GDP/10000.0
Area/574 GDP/36111.55078125
Area/2862 GDP/10000.0
Area/1820 GDP/0.5915083289146423
Area/1574 GDP/36111.55078125
Area/3675 GDP/15241.0986328125
Area/3740 GDP/47574.1953125
Area/2632 GDP/2903.73046875
Area/2241 GDP/10000.0
Area/635 GDP/2043.27587890625
Area/2591 GDP/10000.0
Area/4042 GDP/9014.5166015625
Area/3389 GDP/28777.267578125
Area/2270 GDP/653.9799194335938
Area/3309 GDP/15241.0986328125
Area/2371 GDP/4457.66796875
Area/2324 GDP/10000.0
Area/3382 GDP/27051.396484375
Area/2006 GDP/17457.568359375
Area/2268 GDP/4887.7119140625
Area/2130 GDP/10000.0
Area/2192 GDP/20590.248046875
Area/1567 GDP/10000.0
Area/1597 GDP/10000.0
Area/637 GDP/8716.6064453125
Area/784 GDP/9652.640625
Area/1305 GDP/36111.55078125
Area/3199 GDP/48976.8671875
Area/2298 GDP/10000.0
Area/1692 GDP/10000.0
Area/2248 GDP/37719.9375
Area/2388 GDP/10000.0
Area/3824 GDP/3.1487350463867188
Area/2260 GDP/2107.036376953125
Area/726 GDP/3144.86572265625
Area/4017 GDP/10127.5419921875
Area/3752 GDP/10074.22265625
Area/3410 GDP/5634.31640625
Area/3441 GDP/15591.271484375
Area/3790 GDP/4405.10986328125
Area/1482 GDP/36111.55078125
Area/1767 GDP/10000.0
Area/2926 GDP/4.1700005531311035
Area/1449 GDP/1948.2003173828125
Area/3222 GDP/10000.0
Area/457 GDP/3744.919921875
Area/492 GDP/9652.640625
Area/177 GDP/987.3123779296875
Area/1508 GDP/10000.0
Area/70 GDP/1241.52783203125
Area/25 GDP/411.88568115234375
Area/1144 GDP/10000.0
Area/897 GDP/3289.11279296875
Area/2974 GDP/41801.109375
Area/2995 GDP/941.071533203125
Area/1916 GDP/3544.790283203125
Area/2685 GDP/10000.0
Area/1114 GDP/36111.55078125
Area/895 GDP/6961.83056640625
Area/447 GDP/513.8294677734375
Area/2376 GDP/29258.28515625
Area/3123 GDP/10052.7861328125
Area/3346 GDP/16861.615234375
Area/772 GDP/36111.55078125
Area/2528 GDP/4604.65478515625
Area/1534 GDP/5506.91015625
Area/1518 GDP/24937.986328125
Area/3442 GDP/10946.583984375
Area/1594 GDP/10000.0
Area/1951 GDP/10000.0
Area/964 GDP/10000.0
Area/3185 GDP/6.787302494049072
Area/645 GDP/7114.619140625
Area/1837 GDP/10000.0
Area/1135 GDP/36111.55078125
Area/1840 GDP/10000.0
Area/1358 GDP/7655.7880859375
Area/3772 GDP/2324.290283203125
Area/1310 GDP/36111.55078125
Area/3929 GDP/475.36053466796875
Area/3905 GDP/736.5037231445312
Area/3485 GDP/10068.5791015625
Area/4213 GDP/9984.525390625
Area/4265 GDP/20362.48046875
Area/1768 GDP/10000.0
Area/2714 GDP/1480.923828125
Area/2214 GDP/10000.0
Area/518 GDP/4747.17578125
Area/4022 GDP/21837.5703125
Area/3941 GDP/10353.8701171875
Area/2066 GDP/21941.484375
Area/3944 GDP/15230.5224609375
Area/1297 GDP/36111.55078125
Area/1260 GDP/10141.822265625
Area/593 GDP/9652.640625
Area/1528 GDP/10154.4228515625
Area/1872 GDP/10000.0
Area/3854 GDP/4356.232421875
Area/3052 GDP/40614.9921875
Area/3298 GDP/10062.21484375
Area/2144 GDP/10000.0
Area/3246 GDP/31914.177734375
Area/2001 GDP/2207.777587890625
Area/2581 GDP/10000.0
Area/3495 GDP/15241.0986328125
Area/3044 GDP/10000.0
Area/2818 GDP/139.22219848632812
Area/1870 GDP/10000.0
Area/1005 GDP/6234.6123046875
Area/1021 GDP/36111.55078125
Area/989 GDP/4443.7978515625
Area/1361 GDP/3108.23486328125
Area/1438 GDP/10154.4228515625
Area/2555 GDP/2073.291015625
Area/2757 GDP/10000.0
Area/51 GDP/2269.083984375
Area/2132 GDP/10000.0
Area/2212 GDP/10000.0
Area/264 GDP/4246.0927734375
Area/535 GDP/4305.21435546875
Area/1772 GDP/10000.0
Area/2799 GDP/6077.5419921875
Area/1843 GDP/10000.0
Area/275 GDP/692.8197021484375
Area/3798 GDP/20362.48046875
Area/1432 GDP/10092.64453125
Area/2540 GDP/462.2796325683594
Area/3649 GDP/49308.94140625
Area/2237 GDP/10000.0
Area/122 GDP/6467.61279296875
Area/3571 GDP/10127.12109375
Area/1636 GDP/894.3037109375
Area/566 GDP/14922.134765625
Area/3965 GDP/7521.22802734375
Area/3438 GDP/14295.240234375
Area/5 GDP/6933.4765625
Area/2950 GDP/10000.0
Area/3186 GDP/6.787302494049072
Area/555 GDP/29693.697265625
Area/497 GDP/36111.55078125
Area/1831 GDP/10000.0
Area/3455 GDP/1615.484619140625
Area/89 GDP/5852.080078125
Area/2842 GDP/4.1700005531311035
Area/2821 GDP/2.202497959136963
Area/559 GDP/32538.501953125
Area/3459 GDP/0.6608555316925049
Area/1318 GDP/10000.0
Area/1053 GDP/10000.0
Area/454 GDP/4341.76123046875
Area/1652 GDP/10000.0
Area/256 GDP/1733.8887939453125
Area/3239 GDP/31750.34375
Area/2480 GDP/10000.0
Area/1454 GDP/2963.82177734375
Area/2475 GDP/4.1700005531311035
Area/1550 GDP/100.25836944580078
Area/1948 GDP/10000.0
Area/178 GDP/845.6781616210938
Area/1280 GDP/301.8876037597656
Area/1808 GDP/6596.41357421875
Area/2887 GDP/390.62286376953125
Area/927 GDP/1671.56005859375
Area/2153 GDP/10000.0
Area/151 GDP/6626.6083984375
Area/3358 GDP/5398.26611328125
Area/2157 GDP/24797.525390625
Area/4158 GDP/7639.2578125
Area/2972 GDP/34668.23828125
Area/3205 GDP/36308.3515625
Area/3767 GDP/12301.2041015625
Area/1733 GDP/130.35171508789062
Area/3012 GDP/0.5915083289146423
Area/4024 GDP/36794.51171875
Area/259 GDP/2344.493896484375
Area/3542 GDP/471.0523376464844
Area/436 GDP/3490.126953125
Area/3552 GDP/4.1700005531311035
Area/554 GDP/7114.619140625
Area/1749 GDP/10000.0
Area/1672 GDP/10000.0
Area/1351 GDP/9803.4150390625
Area/241 GDP/9291.08203125
Area/2751 GDP/40911.48828125
Area/3477 GDP/46156.69140625
Area/3367 GDP/3.341392755508423
Area/2063 GDP/10000.0
Area/1407 GDP/10000.0
Area/2777 GDP/10000.0
Area/1774 GDP/10000.0
Area/3643 GDP/4.1700005531311035
Area/853 GDP/36111.55078125
Area/841 GDP/36111.55078125
Area/1192 GDP/5966.4443359375
Area/3551 GDP/4.1700005531311035
Area/390 GDP/2107.933349609375
Area/3999 GDP/8279.3701171875
Area/3372 GDP/4.1700005531311035
Area/239 GDP/6531.01904296875
Area/2944 GDP/10000.0
Area/3306 GDP/10004.5859375
Area/1913 GDP/10645.7900390625
Area/2713 GDP/2170.035400390625
Area/31 GDP/4983.94970703125
Area/2774 GDP/10000.0
Area/1281 GDP/12581.5986328125
Area/2702 GDP/10009.326171875
Area/2125 GDP/10000.0
Area/3550 GDP/4.1700005531311035
Area/1953 GDP/10000.0
Area/3105 GDP/2132.366455078125
Area/1803 GDP/10154.4228515625
Area/4211 GDP/5614.6767578125
Area/3038 GDP/10000.0
Area/2465 GDP/0.5915083289146423
Area/3037 GDP/10000.0
Area/294 GDP/14923.6103515625
Area/3161 GDP/14637.0283203125
Area/3538 GDP/1724.1456298828125
Area/3311 GDP/10000.0
Area/427 GDP/632.861328125
Area/3361 GDP/5539.0205078125
Area/1537 GDP/2555.780029296875
Area/2523 GDP/10068.2529296875
Area/1287 GDP/10087.66796875
Area/3132 GDP/10000.0
Area/3726 GDP/11748.62109375
Area/317 GDP/7432.634765625
Area/4177 GDP/10852.8486328125
Area/2276 GDP/1.095609426498413
Area/1434 GDP/40669.6171875
Area/1804 GDP/9008.2734375
Area/2602 GDP/10016.7939453125
Area/3735 GDP/10983.1640625
Area/3994 GDP/338.7919006347656
Area/3269 GDP/1776.1629638671875
Area/2863 GDP/10000.0
Area/1757 GDP/10000.0
Area/398 GDP/9652.640625
Area/472 GDP/28039.904296875
Area/2457 GDP/2317.13818359375
Area/1623 GDP/10154.4228515625
Area/1057 GDP/10000.0
Area/2110 GDP/10000.0
Area/4190 GDP/3.1487350463867188
Area/1222 GDP/36111.55078125
Area/1497 GDP/10000.0
Area/4014 GDP/5713.9658203125
Area/3069 GDP/4744.6298828125
Area/2562 GDP/4.1700005531311035
Area/1802 GDP/10154.4228515625
Area/1538 GDP/1635.2362060546875
Area/1080 GDP/7936.89501953125
Area/1193 GDP/1546.903076171875
Area/782 GDP/9652.640625
Area/3009 GDP/16437.23046875
Area/4097 GDP/3.1487350463867188
Area/570 GDP/4119.7158203125
Area/344 GDP/1259.940185546875
Area/976 GDP/10053.6298828125
Area/1741 GDP/10000.0
Area/678 GDP/36111.55078125
Area/387 GDP/14923.6103515625
Area/4013 GDP/4702.2880859375
Area/3866 GDP/3781.078857421875
Area/2826 GDP/5411.55322265625
Area/3927 GDP/233.9796600341797
Area/2302 GDP/10000.0
Area/126 GDP/9652.640625
Area/1122 GDP/36111.55078125
Area/1266 GDP/4842.1591796875
Area/583 GDP/36111.55078125
Area/4020 GDP/10126.5126953125
Area/247 GDP/5979.046875
Area/3803 GDP/8686.35546875
Area/1043 GDP/36111.55078125
Area/3352 GDP/10337.2353515625
Area/2141 GDP/10000.0
Area/486 GDP/36111.55078125
Area/3871 GDP/8409.5419921875
Area/3469 GDP/6599.68896484375
Area/1052 GDP/10000.0
Area/2072 GDP/21918.072265625
Area/2290 GDP/0.0
Area/3362 GDP/5539.0205078125
Area/3039 GDP/10000.0
Area/4252 GDP/6878.63037109375
Area/4084 GDP/727.1552734375
Area/2856 GDP/10000.0
Area/3797 GDP/17873.15234375
Area/1533 GDP/10154.4228515625
Area/3322 GDP/34313.58984375
Area/2593 GDP/10000.0
Area/1807 GDP/6596.41357421875
Area/3967 GDP/10500.009765625
Area/620 GDP/5196.80810546875
Area/2423 GDP/10000.0
Area/1331 GDP/10000.0
Area/1209 GDP/36111.55078125
Area/2513 GDP/10000.0
Area/2854 GDP/10000.0
Area/3386 GDP/1392.6077880859375
Area/2578 GDP/10000.0
Area/756 GDP/36111.55078125
Area/1261 GDP/10141.822265625
Area/2706 GDP/10049.7890625
Area/146 GDP/9069.96875
Area/2223 GDP/10000.0
Area/3227 GDP/6655.57568359375
Area/2827 GDP/5411.55322265625
Area/3444 GDP/412.3990173339844
Area/451 GDP/1373.68994140625
Area/938 GDP/36111.55078125
Area/417 GDP/5051.23046875
Area/2422 GDP/10000.0
Area/1535 GDP/4571.23193359375
Area/1191 GDP/5966.4443359375
Area/3055 GDP/38835.8203125
Area/2018 GDP/10000.0
Area/3885 GDP/14226.09375
Area/3867 GDP/3781.078857421875
Area/4238 GDP/2307.672119140625
Area/368 GDP/2766.961181640625
Area/548 GDP/860.7979125976562
Area/666 GDP/36111.55078125
Area/3388 GDP/10065.0224609375
Area/2569 GDP/10000.0556640625
Area/3963 GDP/3910.56494140625
Area/816 GDP/6345.6201171875
Area/1902 GDP/1669.3006591796875
Area/727 GDP/3144.86572265625
Area/3627 GDP/1826.8797607421875
Area/85 GDP/5052.478515625
Area/382 GDP/6272.18408203125
Area/3524 GDP/10001.173828125
Area/4067 GDP/16916.935546875
Area/2705 GDP/45307.4921875
Area/712 GDP/2716.063232421875
Area/1437 GDP/10154.4228515625
Area/2639 GDP/921.8419189453125
Area/858 GDP/36111.55078125
Area/1929 GDP/10000.0
Area/2444 GDP/8562.97265625
Area/3957 GDP/9782.728515625
Area/1463 GDP/11683.0751953125
Area/2456 GDP/3461.54052734375
Area/316 GDP/7352.14013671875
Area/829 GDP/8086.3955078125
Area/2140 GDP/10000.0
Area/2329 GDP/10000.0
Area/3650 GDP/10112.099609375
Area/2104 GDP/10000.0
Area/3333 GDP/326.0995178222656
Area/432 GDP/2985.14453125
Area/3926 GDP/10127.5419921875
Area/4095 GDP/978.3775024414062
Area/3194 GDP/32314.060546875
Area/3920 GDP/18.372236251831055
Area/594 GDP/9652.640625
Area/2901 GDP/4696.77685546875
Area/3284 GDP/4224.28662109375
Area/789 GDP/7296.20947265625
Area/1994 GDP/7836.06201171875
Area/2817 GDP/139.22219848632812
Area/2930 GDP/4.1700005531311035
Area/3671 GDP/15241.0986328125
Area/1494 GDP/10000.0
Area/1229 GDP/36111.55078125
Area/1794 GDP/10000.0
Area/2848 GDP/10000.955078125
Area/735 GDP/14698.3759765625
Area/56 GDP/2970.668212890625
Area/224 GDP/6321.2587890625
Area/2103 GDP/10000.0
Area/164 GDP/815.0498657226562
Area/2127 GDP/10000.0
Area/311 GDP/9652.640625
Area/2968 GDP/10110.5478515625
Area/3236 GDP/10011.4130859375
Area/452 GDP/1373.68994140625
Area/2892 GDP/7986.29052734375
Area/974 GDP/6041.9990234375
Area/561 GDP/28778.91015625
Area/3502 GDP/14257.607421875
Area/102 GDP/14923.6103515625
Area/305 GDP/36111.55078125
Area/1677 GDP/10000.0
Area/1797 GDP/10000.0
Area/13 GDP/14923.6103515625
Area/108 GDP/14144.228515625
Area/52 GDP/3588.098876953125
Area/3054 GDP/25374.9765625
Area/445 GDP/4305.21435546875
Area/1451 GDP/2820.37841796875
Area/3947 GDP/9470.0791015625
Area/1520 GDP/10051.3203125
Area/2875 GDP/37524.8515625
Area/2414 GDP/10000.0
Area/513 GDP/9652.640625
Area/2987 GDP/605.9247436523438
Area/1752 GDP/10000.0
Area/475 GDP/14922.134765625
Area/1512 GDP/10000.0
Area/1183 GDP/549.0911254882812
Area/1099 GDP/2056.31494140625
Area/131 GDP/5419.3525390625
Area/2756 GDP/10000.0
Area/3651 GDP/3958.607177734375
Area/3865 GDP/12384.29296875
Area/2966 GDP/37524.8515625
Area/157 GDP/7707.15673828125
Area/3630 GDP/10256.3349609375
Area/1825 GDP/13112.970703125
Area/1879 GDP/10000.0
Area/2105 GDP/10000.0
Area/1267 GDP/1229.3240966796875
Area/1739 GDP/20590.248046875
Area/2399 GDP/10000.0
Area/577 GDP/36111.55078125
Area/3637 GDP/605.9247436523438
Area/537 GDP/2478.418701171875
Area/2727 GDP/549.5079345703125
Area/1847 GDP/10000.0
Area/265 GDP/2086.097900390625
Area/2343 GDP/3057.28515625
Area/1420 GDP/10000.0
Area/3582 GDP/15225.9912109375
Area/3133 GDP/10000.0
Area/4254 GDP/19372.67578125
Area/3816 GDP/7982.986328125
Area/3678 GDP/13751.5107421875
Area/1558 GDP/20590.248046875
Area/1735 GDP/9040.81640625
Area/3886 GDP/14226.09375
Area/912 GDP/5354.1240234375
Area/931 GDP/36111.55078125
Area/2145 GDP/10000.0
Area/3131 GDP/10000.0
Area/1861 GDP/10000.0
Area/775 GDP/9652.640625
Area/1570 GDP/10000.0
Area/1250 GDP/26198.533203125
Area/3141 GDP/10000.0
Area/2843 GDP/4.1700005531311035
Area/3851 GDP/13295.267578125
Area/804 GDP/1376.910400390625
Area/3466 GDP/46909.1328125
Area/2466 GDP/1532.4617919921875
Area/460 GDP/1609.9296875
Area/1580 GDP/10000.0
Area/154 GDP/10061.3779296875
Area/379 GDP/13693.904296875
Area/2305 GDP/10000.0
Area/718 GDP/7108.31982421875
Area/2943 GDP/10000.0
Area/4253 GDP/11246.8046875
Area/793 GDP/4628.990234375
Area/3794 GDP/13817.1318359375
Area/511 GDP/9652.640625
Area/736 GDP/14508.244140625
Area/2167 GDP/3017.874267578125
Area/1856 GDP/10000.0
Area/4 GDP/4699.38916015625
Area/2216 GDP/10000.0
Area/3912 GDP/8241.83203125
Area/2447 GDP/6794.1572265625
Area/1522 GDP/10049.6650390625
Area/2568 GDP/10002.1748046875
