Area/1109 Carbon/470.50762939453125
Area/3783 Carbon/496.4930419921875
Area/2574 Carbon/1224.664306640625
Area/3169 Carbon/396.8839416503906
Area/78 Carbon/114.15177154541016
Area/266 Carbon/79.19149017333984
Area/3696 Carbon/663.9105224609375
Area/1480 Carbon/1630.2955322265625
Area/3732 Carbon/23.406169891357422
Area/455 Carbon/91.88951873779297
Area/1448 Carbon/394.1744689941406
Area/3268 Carbon/128.67730712890625
Area/2304 Carbon/2475.646240234375
Area/1372 Carbon/137.8657989501953
Area/322 Carbon/564.6583862304688
Area/3831 Carbon/245.85494995117188
Area/8 Carbon/600.4949340820312
Area/2539 Carbon/338.4544982910156
Area/2402 Carbon/2653.444580078125
Area/1581 Carbon/3092.46826171875
Area/380 Carbon/464.4958801269531
Area/4140 Carbon/557.096923828125
Area/1976 Carbon/1167.2440185546875
Area/301 Carbon/695.0368041992188
Area/1564 Carbon/794.0614624023438
Area/431 Carbon/217.98870849609375
Area/549 Carbon/102.13699340820312
Area/1405 Carbon/2332.63720703125
Area/155 Carbon/409.1324157714844
Area/2171 Carbon/780.6771240234375
Area/1523 Carbon/675.021240234375
Area/2726 Carbon/371.59197998046875
Area/1595 Carbon/3447.519775390625
Area/1467 Carbon/368.7542724609375
Area/3432 Carbon/1686.451171875
Area/3771 Carbon/795.2539672851562
Area/1923 Carbon/825.6704711914062
Area/1225 Carbon/2015.4141845703125
Area/16 Carbon/603.24951171875
Area/3001 Carbon/221.46266174316406
Area/2236 Carbon/3150.575439453125
Area/336 Carbon/678.6033325195312
Area/318 Carbon/557.616943359375
Area/4010 Carbon/104.88542175292969
Area/2917 Carbon/118.881103515625
Area/505 Carbon/814.94921875
Area/2090 Carbon/595.9599609375
Area/3868 Carbon/569.7940673828125
Area/579 Carbon/1105.3680419921875
Area/2124 Carbon/2928.5341796875
Area/673 Carbon/1119.0064697265625
Area/3140 Carbon/1496.368408203125
Area/2504 Carbon/2587.19921875
Area/2375 Carbon/498.49798583984375
Area/3807 Carbon/820.1859741210938
Area/4110 Carbon/226.3715362548828
Area/662 Carbon/785.3945922851562
Area/391 Carbon/682.0816040039062
Area/3897 Carbon/943.5011596679688
Area/2711 Carbon/453.07177734375
Area/383 Carbon/449.4274597167969
Area/1975 Carbon/1198.546630859375
Area/3408 Carbon/994.7769165039062
Area/847 Carbon/2166.37548828125
Area/2477 Carbon/806.3256225585938
Area/2737 Carbon/139.88748168945312
Area/932 Carbon/782.5216674804688
Area/2020 Carbon/1424.5157470703125
Area/1499 Carbon/2461.5673828125
Area/2179 Carbon/571.5023193359375
Area/4128 Carbon/494.4083251953125
Area/2283 Carbon/720.1808471679688
Area/1001 Carbon/72.45106506347656
Area/786 Carbon/976.9303588867188
Area/3108 Carbon/125.21427154541016
Area/2928 Carbon/163.12582397460938
Area/1458 Carbon/95.21733856201172
Area/2687 Carbon/2518.599853515625
Area/4199 Carbon/289.2271728515625
Area/3090 Carbon/156.51922607421875
Area/2255 Carbon/747.0107421875
Area/3757 Carbon/889.3062133789062
Area/664 Carbon/1307.359619140625
Area/3958 Carbon/580.1315307617188
Area/129 Carbon/765.8319091796875
Area/2870 Carbon/1952.4647216796875
Area/1901 Carbon/727.73779296875
Area/3512 Carbon/670.5303955078125
Area/1700 Carbon/1094.0943603515625
Area/253 Carbon/140.525146484375
Area/286 Carbon/510.62384033203125
Area/347 Carbon/159.87466430664062
Area/936 Carbon/1532.1453857421875
Area/1431 Carbon/652.85498046875
Area/1559 Carbon/460.86895751953125
Area/4268 Carbon/401.16937255859375
Area/397 Carbon/1072.811279296875
Area/1782 Carbon/3393.808837890625
Area/3189 Carbon/66.06566619873047
Area/2894 Carbon/484.1782531738281
Area/1423 Carbon/1143.0599365234375
Area/2797 Carbon/414.40472412109375
Area/2428 Carbon/909.3489379882812
Area/159 Carbon/139.92315673828125
Area/668 Carbon/1458.8446044921875
Area/4099 Carbon/44.256439208984375
Area/1600 Carbon/2342.4296875
Area/3856 Carbon/1008.1281127929688
Area/1551 Carbon/204.60540771484375
Area/2187 Carbon/451.9200744628906
Area/1552 Carbon/242.48826599121094
Area/227 Carbon/485.8930358886719
Area/770 Carbon/919.3170166015625
Area/3978 Carbon/1628.5198974609375
Area/2050 Carbon/4774.4736328125
Area/39 Carbon/613.5064697265625
Area/2213 Carbon/2526.384521484375
Area/531 Carbon/144.86949157714844
Area/2609 Carbon/713.3397216796875
Area/2483 Carbon/1633.1937255859375
Area/3099 Carbon/83.3066635131836
Area/1666 Carbon/2639.940673828125
Area/3827 Carbon/94.29612731933594
Area/3126 Carbon/1381.8641357421875
Area/1769 Carbon/4678.06298828125
Area/1394 Carbon/1823.7379150390625
Area/95 Carbon/205.90248107910156
Area/491 Carbon/1028.5018310546875
Area/3209 Carbon/716.4198608398438
Area/249 Carbon/208.94900512695312
Area/20 Carbon/399.5721130371094
Area/3330 Carbon/771.8418579101562
Area/2661 Carbon/864.068359375
Area/1090 Carbon/145.51577758789062
Area/924 Carbon/529.3644409179688
Area/3832 Carbon/261.5201416015625
Area/1055 Carbon/1150.107666015625
Area/1565 Carbon/1055.6072998046875
Area/1799 Carbon/1276.01611328125
Area/208 Carbon/436.0222473144531
Area/830 Carbon/414.1959228515625
Area/1296 Carbon/977.4044189453125
Area/2411 Carbon/2703.986083984375
Area/1312 Carbon/2049.426513671875
Area/3775 Carbon/821.1445922851562
Area/1882 Carbon/1191.392578125
Area/1239 Carbon/1015.4893798828125
Area/4172 Carbon/828.5208740234375
Area/3243 Carbon/914.812255859375
Area/2696 Carbon/1112.2969970703125
Area/252 Carbon/139.40892028808594
Area/2366 Carbon/77.23516082763672
Area/3503 Carbon/1050.3043212890625
Area/4111 Carbon/180.4449920654297
Area/2038 Carbon/3636.83056640625
Area/437 Carbon/166.2077178955078
Area/3608 Carbon/900.9859619140625
Area/3489 Carbon/1068.4737548828125
Area/3180 Carbon/113.34869384765625
Area/1243 Carbon/807.0813598632812
Area/3998 Carbon/202.18557739257812
Area/2158 Carbon/985.3148193359375
Area/4275 Carbon/105.13033294677734
Area/711 Carbon/183.73779296875
Area/3111 Carbon/214.04710388183594
Area/1218 Carbon/1876.7960205078125
Area/2999 Carbon/183.28659057617188
Area/402 Carbon/765.8319091796875
Area/2531 Carbon/502.2313232421875
Area/894 Carbon/225.25518798828125
Area/1578 Carbon/2809.886474609375
Area/2491 Carbon/3210.126953125
Area/3594 Carbon/1041.770263671875
Area/4194 Carbon/190.10885620117188
Area/1999 Carbon/243.07821655273438
Area/284 Carbon/465.75189208984375
Area/953 Carbon/1257.396484375
Area/982 Carbon/306.2283020019531
Area/245 Carbon/493.9236145019531
Area/833 Carbon/533.7567749023438
Area/2292 Carbon/791.419677734375
Area/3127 Carbon/1396.6376953125
Area/4086 Carbon/333.40350341796875
Area/2147 Carbon/2559.08349609375
Area/4121 Carbon/529.3307495117188
Area/704 Carbon/397.9503479003906
Area/929 Carbon/570.7328491210938
Area/843 Carbon/842.8631591796875
Area/346 Carbon/160.81663513183594
Area/9 Carbon/711.39501953125
Area/1944 Carbon/3694.67724609375
Area/3279 Carbon/42.65873336791992
Area/2228 Carbon/3231.906982421875
Area/1660 Carbon/1943.087890625
Area/783 Carbon/1085.6121826171875
Area/1790 Carbon/1240.52099609375
Area/3168 Carbon/448.1712341308594
Area/2008 Carbon/708.2568969726562
Area/2368 Carbon/153.21823120117188
Area/215 Carbon/1163.5333251953125
Area/362 Carbon/148.25201416015625
Area/1531 Carbon/1184.9801025390625
Area/3584 Carbon/1232.8505859375
Area/4069 Carbon/1327.240966796875
Area/4127 Carbon/505.4868469238281
Area/2956 Carbon/1965.2412109375
Area/1785 Carbon/1873.898193359375
Area/3560 Carbon/352.00445556640625
Area/3830 Carbon/194.53683471679688
Area/2742 Carbon/79.15093231201172
Area/3153 Carbon/923.4403076171875
Area/1079 Carbon/334.43157958984375
Area/1119 Carbon/1692.819091796875
Area/2653 Carbon/159.95242309570312
Area/1724 Carbon/245.44094848632812
Area/2180 Carbon/623.1165771484375
Area/4262 Carbon/973.3126220703125
Area/4137 Carbon/566.9278564453125
Area/2546 Carbon/775.7112426757812
Area/1112 Carbon/733.6165161132812
Area/2258 Carbon/750.9881591796875
Area/4234 Carbon/463.4093322753906
Area/179 Carbon/117.1138916015625
Area/3210 Carbon/831.6878051757812
Area/760 Carbon/1449.28955078125
Area/2886 Carbon/526.7949829101562
Area/2473 Carbon/361.0814208984375
Area/144 Carbon/514.8555908203125
Area/1174 Carbon/401.13214111328125
Area/1568 Carbon/1485.7291259765625
Area/2918 Carbon/118.19401550292969
Area/3344 Carbon/1424.085205078125
Area/848 Carbon/2337.315673828125
Area/3319 Carbon/1340.8226318359375
Area/2753 Carbon/796.7855224609375
Area/3691 Carbon/523.4977416992188
Area/182 Carbon/136.24363708496094
Area/739 Carbon/422.8753356933594
Area/1241 Carbon/967.3988647460938
Area/4231 Carbon/483.0536804199219
Area/2822 Carbon/81.08946990966797
Area/404 Carbon/709.1237182617188
Area/3894 Carbon/1222.53759765625
Area/2338 Carbon/880.1423950195312
Area/1341 Carbon/590.4375610351562
Area/2922 Carbon/82.181884765625
Area/1301 Carbon/1507.8336181640625
Area/617 Carbon/218.93565368652344
Area/3554 Carbon/102.4814224243164
Area/818 Carbon/223.9364013671875
Area/1435 Carbon/806.7486572265625
Area/4220 Carbon/322.9588928222656
Area/2809 Carbon/250.21482849121094
Area/3343 Carbon/1466.0548095703125
Area/3893 Carbon/1345.169921875
Area/4217 Carbon/394.571044921875
Area/2660 Carbon/820.6693115234375
Area/3482 Carbon/785.9635009765625
Area/3578 Carbon/936.7534790039062
Area/1583 Carbon/3257.1904296875
Area/1391 Carbon/1534.694091796875
Area/2115 Carbon/1366.90673828125
Area/1548 Carbon/95.96436309814453
Area/3806 Carbon/822.0181884765625
Area/750 Carbon/504.6271057128906
Area/764 Carbon/1193.4188232421875
Area/2676 Carbon/2654.69921875
Area/651 Carbon/24080.150390625
Area/4169 Carbon/1256.34326171875
Area/118 Carbon/523.4459228515625
Area/3383 Carbon/418.52886962890625
Area/1094 Carbon/71.47454833984375
Area/700 Carbon/611.03662109375
Area/3755 Carbon/803.016357421875
Area/1138 Carbon/1749.03369140625
Area/2616 Carbon/402.9420166015625
Area/839 Carbon/619.0924072265625
Area/1931 Carbon/1781.77197265625
Area/3295 Carbon/439.6259765625
Area/788 Carbon/819.99462890625
Area/479 Carbon/584.526123046875
Area/680 Carbon/848.2250366210938
Area/981 Carbon/347.275390625
Area/3226 Carbon/1329.370849609375
Area/745 Carbon/551.4900512695312
Area/725 Carbon/196.8778076171875
Area/2501 Carbon/2768.9521484375
Area/1584 Carbon/3268.4375
Area/2681 Carbon/4106.0283203125
Area/1100 Carbon/170.3729705810547
Area/987 Carbon/261.02264404296875
Area/3531 Carbon/655.4622802734375
Area/2860 Carbon/2881.135009765625
Area/2464 Carbon/411.83489990234375
Area/329 Carbon/954.0770874023438
Area/1547 Carbon/91.96253204345703
Area/3481 Carbon/727.8076171875
Area/1930 Carbon/1553.477783203125
Area/2385 Carbon/936.0504760742188
Area/312 Carbon/697.1301879882812
Area/1093 Carbon/65.58525085449219
Area/1950 Carbon/4330.986328125
Area/3329 Carbon/776.142822265625
Area/738 Carbon/378.14984130859375
Area/449 Carbon/112.39453125
Area/2770 Carbon/3289.75341796875
Area/574 Carbon/844.2654418945312
Area/2862 Carbon/3673.6123046875
Area/1820 Carbon/83.54544830322266
Area/1574 Carbon/1911.93896484375
Area/3675 Carbon/1186.0157470703125
Area/3740 Carbon/261.077392578125
Area/2632 Carbon/217.0201873779297
Area/2241 Carbon/1600.499267578125
Area/635 Carbon/195.8326873779297
Area/2591 Carbon/3283.325927734375
Area/4042 Carbon/654.4513549804688
Area/3389 Carbon/600.3358154296875
Area/2270 Carbon/617.5396728515625
Area/3309 Carbon/1363.427490234375
Area/2371 Carbon/369.7536926269531
Area/2324 Carbon/2967.778564453125
Area/3382 Carbon/368.9607849121094
Area/2006 Carbon/531.7123413085938
Area/2268 Carbon/474.9653015136719
Area/2130 Carbon/3403.700439453125
Area/2192 Carbon/868.0951538085938
Area/1567 Carbon/1166.7205810546875
Area/1597 Carbon/3141.989990234375
Area/637 Carbon/75.58353424072266
Area/784 Carbon/1034.547607421875
Area/1305 Carbon/1871.322509765625
Area/3199 Carbon/195.34637451171875
Area/2298 Carbon/1183.5889892578125
Area/1692 Carbon/2362.099365234375
Area/2248 Carbon/843.8706665039062
Area/2388 Carbon/1149.912109375
Area/3824 Carbon/32.83982467651367
Area/2260 Carbon/732.9495849609375
Area/726 Carbon/210.97596740722656
Area/4017 Carbon/297.3432312011719
Area/3752 Carbon/615.4822387695312
Area/3410 Carbon/1118.044921875
Area/3441 Carbon/584.20947265625
Area/3790 Carbon/898.7599487304688
Area/1482 Carbon/1852.0677490234375
Area/1767 Carbon/5082.98681640625
Area/2926 Carbon/102.31226348876953
Area/1449 Carbon/338.3835144042969
Area/3222 Carbon/1304.055419921875
Area/457 Carbon/95.64264678955078
Area/492 Carbon/935.20458984375
Area/177 Carbon/85.72810363769531
Area/1508 Carbon/2446.561279296875
Area/70 Carbon/105.30724334716797
Area/25 Carbon/345.8603210449219
Area/1144 Carbon/1326.9102783203125
Area/897 Carbon/235.45191955566406
Area/2974 Carbon/566.009521484375
Area/2995 Carbon/107.89289855957031
Area/1916 Carbon/631.8386840820312
Area/2685 Carbon/2665.938720703125
Area/1114 Carbon/934.6770629882812
Area/895 Carbon/226.89309692382812
Area/447 Carbon/89.99750518798828
Area/2376 Carbon/481.5235290527344
Area/3123 Carbon/1269.8304443359375
Area/3346 Carbon/1149.044677734375
Area/772 Carbon/914.4043579101562
Area/2528 Carbon/444.46368408203125
Area/1534 Carbon/972.33984375
Area/1518 Carbon/809.4694213867188
Area/3442 Carbon/460.266845703125
Area/1594 Carbon/3747.519775390625
Area/1951 Carbon/4330.986328125
Area/964 Carbon/1045.908935546875
Area/3185 Carbon/22.274690628051758
Area/645 Carbon/280.45233154296875
Area/1837 Carbon/1546.5108642578125
Area/1135 Carbon/1855.4912109375
Area/1840 Carbon/2076.7177734375
Area/1358 Carbon/345.09564208984375
Area/3772 Carbon/749.2243041992188
Area/1310 Carbon/2035.271728515625
Area/3929 Carbon/257.3368835449219
Area/3905 Carbon/310.1907043457031
Area/3485 Carbon/854.8699340820312
Area/4213 Carbon/492.30914306640625
Area/4265 Carbon/671.246826171875
Area/1768 Carbon/5082.98681640625
Area/2714 Carbon/516.335205078125
Area/2214 Carbon/2843.28564453125
Area/518 Carbon/689.400390625
Area/4022 Carbon/225.27989196777344
Area/3941 Carbon/708.0347900390625
Area/2066 Carbon/1083.3636474609375
Area/3944 Carbon/843.5104370117188
Area/1297 Carbon/1045.8253173828125
Area/1260 Carbon/563.5624389648438
Area/593 Carbon/746.3905639648438
Area/1528 Carbon/1114.567626953125
Area/1872 Carbon/3639.46337890625
Area/3854 Carbon/973.8408813476562
Area/3052 Carbon/1567.66748046875
Area/3298 Carbon/563.5802001953125
Area/2144 Carbon/3383.467529296875
Area/3246 Carbon/880.1423950195312
Area/2001 Carbon/197.57559204101562
Area/2581 Carbon/3321.281982421875
Area/3495 Carbon/1042.8721923828125
Area/3044 Carbon/1860.949951171875
Area/2818 Carbon/327.4142761230469
Area/1870 Carbon/5134.40625
Area/1005 Carbon/85.4210205078125
Area/1021 Carbon/630.9734497070312
Area/989 Carbon/268.1649169921875
Area/1361 Carbon/216.10760498046875
Area/1438 Carbon/980.8119506835938
Area/2555 Carbon/287.35321044921875
Area/2757 Carbon/1243.7401123046875
Area/51 Carbon/335.9052429199219
Area/2132 Carbon/3287.18505859375
Area/2212 Carbon/2275.259765625
Area/264 Carbon/72.5157699584961
Area/535 Carbon/140.64572143554688
Area/1772 Carbon/5314.37158203125
Area/2799 Carbon/389.5784606933594
Area/1843 Carbon/2183.45556640625
Area/275 Carbon/122.67716979980469
Area/3798 Carbon/2032.63525390625
Area/1432 Carbon/665.7235107421875
Area/2540 Carbon/327.4007873535156
Area/3649 Carbon/276.02130126953125
Area/2237 Carbon/2664.016357421875
Area/122 Carbon/962.6591186523438
Area/3571 Carbon/789.1686401367188
Area/1636 Carbon/121.7127914428711
Area/566 Carbon/524.9474487304688
Area/3965 Carbon/438.9466552734375
Area/3438 Carbon/1042.16845703125
Area/5 Carbon/280.1282958984375
Area/2950 Carbon/2166.366943359375
Area/3186 Carbon/24.839641571044922
Area/555 Carbon/336.3345642089844
Area/497 Carbon/700.8241577148438
Area/1831 Carbon/704.8135375976562
Area/3455 Carbon/107.73343658447266
Area/89 Carbon/73.91753387451172
Area/2842 Carbon/552.9833984375
Area/2821 Carbon/71.75508880615234
Area/559 Carbon/601.076416015625
Area/3459 Carbon/25.75040054321289
Area/1318 Carbon/2169.45947265625
Area/1053 Carbon/1163.3411865234375
Area/454 Carbon/185.85581970214844
Area/1652 Carbon/677.2658081054688
Area/256 Carbon/150.66897583007812
Area/3239 Carbon/938.5529174804688
Area/2480 Carbon/962.6591186523438
Area/1454 Carbon/144.5685577392578
Area/2475 Carbon/638.205810546875
Area/1550 Carbon/133.4782257080078
Area/1948 Carbon/4620.21728515625
Area/178 Carbon/98.36978149414062
Area/1280 Carbon/107.08988189697266
Area/1808 Carbon/876.2201538085938
Area/2887 Carbon/504.4698181152344
Area/927 Carbon/551.6173706054688
Area/2153 Carbon/1374.795654296875
Area/151 Carbon/704.2858276367188
Area/3358 Carbon/159.9608154296875
Area/2157 Carbon/1004.52783203125
Area/4158 Carbon/1088.764892578125
Area/2972 Carbon/635.8679809570312
Area/3205 Carbon/367.6300048828125
Area/3767 Carbon/1038.3497314453125
Area/1733 Carbon/263.15252685546875
Area/3012 Carbon/86.81519317626953
Area/4024 Carbon/256.480224609375
Area/259 Carbon/138.176513671875
Area/3542 Carbon/152.81349182128906
Area/436 Carbon/168.34877014160156
Area/3552 Carbon/43.78950500488281
Area/554 Carbon/292.101318359375
Area/1749 Carbon/1957.684814453125
Area/1672 Carbon/3347.599609375
Area/1351 Carbon/797.4110717773438
Area/241 Carbon/941.6085205078125
Area/2751 Carbon/619.6729736328125
Area/3477 Carbon/465.37408447265625
Area/3367 Carbon/22.32733726501465
Area/2063 Carbon/1279.141845703125
Area/1407 Carbon/2326.193359375
Area/2777 Carbon/2468.0693359375
Area/1774 Carbon/5545.75732421875
Area/3643 Carbon/43.19290542602539
Area/853 Carbon/1283.390869140625
Area/841 Carbon/602.0526733398438
Area/1192 Carbon/204.75941467285156
Area/3551 Carbon/30.78194236755371
Area/390 Carbon/598.86279296875
Area/3999 Carbon/168.7813262939453
Area/3372 Carbon/91.2799072265625
Area/239 Carbon/957.353759765625
Area/2944 Carbon/1563.330078125
Area/3306 Carbon/1214.241943359375
Area/1913 Carbon/234.9466552734375
Area/2713 Carbon/530.4876708984375
Area/31 Carbon/804.0562133789062
Area/2774 Carbon/3386.163818359375
Area/1281 Carbon/133.00306701660156
Area/2702 Carbon/572.4029541015625
Area/2125 Carbon/2882.88623046875
Area/3550 Carbon/23.749231338500977
Area/1953 Carbon/4246.50830078125
Area/3105 Carbon/89.54039764404297
Area/1803 Carbon/1401.0029296875
Area/4211 Carbon/395.7477722167969
Area/3038 Carbon/1621.9100341796875
Area/2465 Carbon/404.7450866699219
Area/3037 Carbon/1506.5693359375
Area/294 Carbon/487.99462890625
Area/3161 Carbon/982.4630737304688
Area/3538 Carbon/215.44540405273438
Area/3311 Carbon/1267.1007080078125
Area/427 Carbon/732.5054321289062
Area/3361 Carbon/120.76631164550781
Area/1537 Carbon/671.4202880859375
Area/2523 Carbon/523.272705078125
Area/1287 Carbon/320.96112060546875
Area/3132 Carbon/1511.540283203125
Area/3726 Carbon/152.90927124023438
Area/317 Carbon/557.1170043945312
Area/4177 Carbon/387.8054504394531
Area/2276 Carbon/115.04122161865234
Area/1434 Carbon/689.7982177734375
Area/1804 Carbon/1390.3165283203125
Area/2602 Carbon/1550.75634765625
Area/3735 Carbon/68.66860961914062
Area/3994 Carbon/384.6929931640625
Area/3269 Carbon/121.30274963378906
Area/2863 Carbon/3638.428955078125
Area/1757 Carbon/2879.8935546875
Area/398 Carbon/1189.6468505859375
Area/472 Carbon/475.03033447265625
Area/2457 Carbon/81.62255096435547
Area/1623 Carbon/1271.918212890625
Area/1057 Carbon/998.9619750976562
Area/2110 Carbon/1256.3143310546875
Area/4190 Carbon/37.79537582397461
Area/1222 Carbon/2034.507080078125
Area/1497 Carbon/2829.512451171875
Area/4014 Carbon/256.9506530761719
Area/3069 Carbon/644.9407958984375
Area/2562 Carbon/198.87745666503906
Area/1802 Carbon/1411.4986572265625
Area/1538 Carbon/561.8976440429688
Area/1080 Carbon/315.09100341796875
Area/1193 Carbon/241.55279541015625
Area/782 Carbon/1056.21875
Area/3009 Carbon/110.17565155029297
Area/4097 Carbon/27.721843719482422
Area/570 Carbon/633.8331298828125
Area/344 Carbon/147.22457885742188
Area/976 Carbon/458.3890380859375
Area/1741 Carbon/624.9625244140625
Area/678 Carbon/810.3141479492188
Area/387 Carbon/421.4632568359375
Area/4013 Carbon/205.71566772460938
Area/3866 Carbon/680.1351318359375
Area/2826 Carbon/160.4369659423828
Area/3927 Carbon/295.3688049316406
Area/2302 Carbon/2048.6875
Area/126 Carbon/1130.381103515625
Area/1122 Carbon/1852.0677490234375
Area/1266 Carbon/389.7832336425781
Area/583 Carbon/954.6669921875
Area/4020 Carbon/222.3321990966797
Area/247 Carbon/331.4339294433594
Area/3803 Carbon/1214.3590087890625
Area/1043 Carbon/1632.3040771484375
Area/3352 Carbon/433.5099792480469
Area/2141 Carbon/4054.609619140625
Area/486 Carbon/1028.147705078125
Area/3871 Carbon/472.2002868652344
Area/3469 Carbon/348.82135009765625
Area/1052 Carbon/1261.519287109375
Area/2072 Carbon/1049.683349609375
Area/2290 Carbon/718.0533447265625
Area/3362 Carbon/108.7510757446289
Area/3039 Carbon/1601.8114013671875
Area/4252 Carbon/867.05615234375
Area/4084 Carbon/428.0889892578125
Area/2856 Carbon/1949.6580810546875
Area/3797 Carbon/2189.96240234375
Area/1533 Carbon/1015.1300048828125
Area/3322 Carbon/1262.3486328125
Area/2593 Carbon/2923.393798828125
Area/1807 Carbon/1111.7515869140625
Area/3967 Carbon/568.5046997070312
Area/620 Carbon/156.914306640625
Area/2423 Carbon/1293.0303955078125
Area/1331 Carbon/1081.96142578125
Area/1209 Carbon/1370.901123046875
Area/2513 Carbon/1336.6474609375
Area/2854 Carbon/1838.2996826171875
Area/3386 Carbon/462.2618713378906
Area/2578 Carbon/2588.75146484375
Area/756 Carbon/1699.217529296875
Area/1261 Carbon/577.849365234375
Area/2706 Carbon/441.11083984375
Area/146 Carbon/635.8679809570312
Area/2223 Carbon/3236.032470703125
Area/3227 Carbon/1432.853759765625
Area/2827 Carbon/145.704345703125
Area/3444 Carbon/327.4355163574219
Area/451 Carbon/159.15472412109375
Area/938 Carbon/2114.4619140625
Area/417 Carbon/832.7460327148438
Area/2422 Carbon/1541.431640625
Area/1535 Carbon/910.4920654296875
Area/1191 Carbon/183.11341857910156
Area/3055 Carbon/1325.5303955078125
Area/2018 Carbon/1292.9500732421875
Area/3885 Carbon/1410.6923828125
Area/3867 Carbon/623.1275024414062
Area/4238 Carbon/417.6133117675781
Area/368 Carbon/132.61602783203125
Area/548 Carbon/93.3608627319336
Area/666 Carbon/1471.160400390625
Area/3388 Carbon/515.0016479492188
Area/2569 Carbon/799.1306762695312
Area/3963 Carbon/412.6279602050781
Area/816 Carbon/202.98187255859375
Area/1902 Carbon/604.2454223632812
Area/727 Carbon/212.2861785888672
Area/3627 Carbon/438.42620849609375
Area/85 Carbon/64.63185119628906
Area/382 Carbon/445.1802978515625
Area/3524 Carbon/2155.46142578125
Area/4067 Carbon/1225.6688232421875
Area/2705 Carbon/498.31011962890625
Area/712 Carbon/184.6475372314453
Area/1437 Carbon/875.5513916015625
Area/2639 Carbon/100.4598388671875
Area/858 Carbon/1150.416748046875
Area/1929 Carbon/1520.1865234375
Area/2444 Carbon/546.427490234375
Area/3957 Carbon/626.3668823242188
Area/1463 Carbon/196.54202270507812
Area/2456 Carbon/920.4912109375
Area/316 Carbon/529.1405029296875
Area/829 Carbon/353.2849426269531
Area/2140 Carbon/4363.123046875
Area/2329 Carbon/2070.251953125
Area/3650 Carbon/289.59039306640625
Area/2104 Carbon/701.3470458984375
Area/3333 Carbon/816.0439453125
Area/432 Carbon/178.62034606933594
Area/3926 Carbon/329.3996276855469
Area/4095 Carbon/26.06464195251465
Area/3194 Carbon/134.22372436523438
Area/3920 Carbon/140.12342834472656
Area/594 Carbon/781.1558227539062
Area/2901 Carbon/157.92337036132812
Area/3284 Carbon/155.63063049316406
Area/789 Carbon/734.7200927734375
Area/1994 Carbon/532.4158325195312
Area/2817 Carbon/310.82794189453125
Area/2930 Carbon/272.6394348144531
Area/3671 Carbon/1126.03857421875
Area/1494 Carbon/2646.825439453125
Area/1229 Carbon/2055.40087890625
Area/1794 Carbon/1036.365478515625
Area/2848 Carbon/1264.8248291015625
Area/735 Carbon/172.4236297607422
Area/56 Carbon/552.9634399414062
Area/224 Carbon/518.6712646484375
Area/2103 Carbon/773.2871704101562
Area/164 Carbon/131.97341918945312
Area/2127 Carbon/2998.798583984375
Area/311 Carbon/844.2654418945312
Area/2968 Carbon/1072.435546875
Area/3236 Carbon/919.25634765625
Area/452 Carbon/179.95651245117188
